,term,score
0,jill,341.64424146768613
1,claud,229.23422227104655
2,mary,225.67562262959297
3,kristy,208.39198883026276
4,karen,129.61935081294777
5,claudia,115.97041098142981
6,andrew,102.35138305481706
7,mal,98.72238974066903
8,jessi,94.30303873701149
9,parade,86.25779281356488
10,mansion,81.77830998579593
11,ghost,60.422600490138876
12,sitters,59.58112857761532
13,bsc,59.341393475112376
14,beach,45.68449353416569
15,summer,45.1106831478278
16,vacation,44.09216792523648
17,team,42.195973458215505
18,softball,37.88788938634876
19,rooms,37.697002838405844
20,light,36.496533930863784
21,boat,35.69067583710152
22,shannon,35.12041654649508
23,town,32.83652784044868
24,others,29.240916828416132
25,logan,29.2065392806414
26,key,26.6421615019637
27,woman,26.630430638450203
28,explained,26.48107083907152
29,sea,25.560440139244115
30,dinner,25.309415622010427
31,children,24.908929150132263
32,becca,24.544621366479095
33,sitter,23.931956532152167
34,garden,23.86237776782228
35,window,23.615404308205974
36,coach,22.91610591306523
37,machine,22.728903312507846
38,notebook,22.54197683965116
39,figure,22.442214181720605
40,uncle,22.423592010582446
41,arnold,21.886900204718696
42,dress,21.803173373462243
43,doors,21.76082549544428
44,library,21.110321589507272
45,pool,21.006430420309798
46,stairs,20.852975382543676
47,dining,20.189007134617146
48,ball,19.994079960598526
49,sleep,19.595506283552282
50,fair,18.94548858307739
51,handed,18.57520011820598
52,picnic,17.95562185988015
53,mallory,17.955482123587984
54,headed,17.927502732257384
55,orange,17.74671091995578
56,afraid,17.717264323687978
57,scary,17.408660396355423
58,braddock,17.387087665861316
59,lights,17.24314053076739
60,catch,16.758451368198152
61,age,16.758451368198152
62,mystery,16.75602870909036
63,wondered,16.60993530345748
64,painting,16.414115061607568
65,cat,16.29527959494383
66,continued,15.818384763756516
67,reminded,15.781222443669108
68,store,15.672790141622901
69,lunch,15.64122127698494
70,prezzioso,15.304999462725185
71,asleep,15.276486269505995
72,guy,15.16195687399355
73,closed,15.16195687399355
74,rose,15.159028957900116
75,carrying,15.137756400693082
76,breakfast,15.000612050809611
77,french,14.622700083079904
78,van,14.446783208078859
79,jobs,14.26782526174041
80,tonight,14.082131125341595
81,california,14.078959954422583
82,eye,14.078959954422583
83,hallway,13.966544784260096
84,careful,13.81323927883649
85,besides,13.77015683631719
86,climbed,13.750561046575475
87,scared,13.503359632202832
88,sisters,13.466611592690988
89,stories,13.44241764807106
90,plan,13.40676109455852
91,booth,13.367728449288052
92,janine,13.261591658296302
93,safe,13.24597598004706
94,boo,13.21554854283321
95,learned,13.20197091613357
96,clients,13.20197091613357
97,president,13.170300241606533
98,upstairs,13.111905965792456
99,bet,12.710914002754329
100,monday,12.654707811005213
101,camp,12.618281314415851
102,loved,12.61479700057757
103,extra,12.454947654355257
104,history,12.278602745315798
105,dear,12.122081766670851
106,its,12.072775221472655
107,trip,12.055992416633002
108,drive,12.019247135309753
109,checked,11.965978266076084
110,announced,11.965978266076084
111,brothers,11.912966115280646
112,bag,11.912966115280646
113,lay,11.886017143032788
114,melody,11.819196385890237
115,younger,11.703435970603008
116,jake,11.576697898624499
117,bike,11.548952623646347
118,twenty,11.526768402089578
119,exclaimed,11.526768402089578
120,hot,11.373312705342975
121,join,11.322679685777505
122,speak,11.322679685777505
123,wonderful,10.975250201338778
124,wished,10.863519729962553
125,acting,10.813046376416434
126,sign,10.686768657962194
127,follow,10.663509312319214
128,screamed,10.555160794753636
129,practically,10.545589842504343
130,tea,10.542575430961314
131,terrific,10.467356645200539
132,visit,10.420603293306602
133,bedroom,10.327818966376853
134,disappointed,10.325090274793698
135,matt,10.31913086291347
136,pack,10.10660879796198
137,boys,9.8777251812049
138,baseball,9.776581348982067
139,rodowsky,9.77313440308851
140,shouted,9.703806725767276
141,game,9.703806725767276
142,field,9.699083727234177
143,dressed,9.660847216993353
144,hoping,9.644793933306401
145,tomorrow,9.618091792165973
146,worked,9.57553852140246
147,street,9.533185502065747
148,above,9.505579763717234
149,clock,9.49103085825391
150,fifteen,9.472744291538694
151,listening,9.430303873701149
152,ride,9.262758482939201
153,interested,9.13936272033415
154,rain,9.076824066420972
155,responsible,9.075997139083189
156,list,9.058143748622005
157,young,9.017841396382348
158,yellow,8.993155935554169
159,writing,8.977741061793992
160,nina,8.959643384361419
161,third,8.819320043424556
162,appeared,8.790243177441402
163,plans,8.75035702963894
164,english,8.621570265383696
165,fancy,8.621570265383696
166,pink,8.593047038674529
167,man,8.587419748438537
168,promised,8.55426577604522
169,emergency,8.539936353049026
170,closet,8.515698185368434
171,liked,8.511589796802188
172,grabbed,8.511589796802188
173,bags,8.49953215996096
174,carried,8.45939823105618
175,strange,8.4391946916431
176,question,8.436471874003475
177,calling,8.436471874003475
178,helping,8.325984676923895
179,calm,8.251515889488505
180,building,8.224073952136493
181,signed,8.123722268377724
182,bunch,8.1049136725718
183,awhile,8.068737881462704
184,forth,8.034783805726937
185,jackie,8.006777565902752
186,tossed,7.99763198423941
187,main,7.99763198423941
188,secretary,7.9258757800442545
189,himself,7.9258757800442545
190,pass,7.924011428688525
191,haley,7.911534971127877
192,barn,7.911534971127877
193,drew,7.890611221834554
194,secret,7.82061063849247
195,wednesday,7.785871113097568
196,beside,7.779426119214162
197,pizza,7.779426119214162
198,questions,7.7169050379964865
199,count,7.673228656617756
200,picture,7.580978436996775
201,deal,7.547405231152325
202,ahead,7.547405231152325
203,break,7.547405231152325
204,beautiful,7.547405231152325
205,charges,7.502770367220805
206,spent,7.480738060573535
207,stacey,7.447641072201915
208,subject,7.432508693881204
209,helped,7.414699834940025
210,ones,7.381912889753041
211,taken,7.381912889753041
212,expect,7.365468890292453
213,fire,7.358875544470589
214,notes,7.358875544470589
215,earrings,7.323539708355126
216,drawing,7.288451845061893
217,games,7.266293078585189
218,college,7.253608498481427
219,bathroom,7.2335954499798
220,shy,7.168729953354507
221,hoped,7.009569427353936
222,clear,6.947068862204401
223,wrote,6.916061041253746
224,moving,6.916061041253746
225,wall,6.916061041253746
226,begin,6.885212644251235
227,ear,6.823987623205785
228,water,6.7936078114665035
229,party,6.7936078114665035
230,conversation,6.733305796345494
231,green,6.70338054727926
232,lived,6.70338054727926
233,none,6.70338054727926
234,loves,6.673603811226487
235,led,6.673603811226487
236,practice,6.633923992327617
237,twins,6.63344425789812
238,stayed,6.614490032568417
239,wonder,6.585150120803267
240,driveway,6.572947626858526
241,animals,6.565646024643026
242,record,6.555952982896228
243,fortunately,6.53217302596096
244,threw,6.526897236041501
245,desk,6.526897236041501
246,group,6.526897236041501
247,snack,6.512705934277654
248,gasped,6.4828550993451355
249,certainly,6.4828550993451355
250,yesterday,6.453181421746061
251,schedule,6.453181421746061
252,spoke,6.440564811328903
253,promise,6.423682811110121
254,spend,6.412061194777316
255,excited,6.383692347601641
256,decide,6.365202612294164
257,hungry,6.336217023872535
258,eight,6.327353905502607
259,insisted,6.307398500288785
260,ground,6.278745126743859
261,anybody,6.278745126743859
262,toys,6.250255021170671
263,act,6.221926333492283
264,glass,6.165745967157655
265,suppose,6.150932306743661
266,truth,6.137890741910378
267,board,6.120743484202128
268,porch,6.090780797285499
269,brewer,6.082641560977454
270,using,6.082641560977454
271,keeping,6.027996208316501
272,missing,6.000895870969805
273,page,5.9731252564603246
274,gathered,5.947131912088496
275,yelled,5.920465182211684
276,shouldn,5.920465182211684
277,bat,5.898563109056334
278,planned,5.893939921063218
279,handle,5.893939921063218
280,wondering,5.815198136222522
281,interesting,5.763384201044789
282,weeks,5.763384201044789
283,ate,5.763384201044789
284,buy,5.737677203542696
285,bright,5.737677203542696
286,downstairs,5.7121017002088434
287,watson,5.7121017002088434
288,mumbled,5.693290902032683
289,pleased,5.693290902032683
290,clean,5.686656352671488
291,seeing,5.686656352671488
292,hat,5.666354773307307
293,thirteen,5.6613398428887525
294,glasses,5.636150872738968
295,maggie,5.619234173256123
296,checking,5.613020649829446
297,bored,5.613020649829446
298,names,5.611088163621245
299,stared,5.611088163621245
300,named,5.586150456066051
301,neither,5.561336509355406
302,managed,5.561336509355406
303,vanessa,5.560388311519402
304,meetings,5.536645101152493
305,leaned,5.512075027140347
306,plenty,5.512075027140347
307,starting,5.512075027140347
308,decision,5.508439529412157
309,explain,5.487625100669389
310,known,5.487625100669389
311,shrieked,5.482715968090995
312,waved,5.463294152413524
313,less,5.463294152413524
314,familiar,5.4571567756959105
315,listen,5.41498459785484
316,piece,5.3910037365373755
317,windows,5.381444736153836
318,definitely,5.367137342774085
319,spotted,5.3565225371512915
320,teeth,5.3565225371512915
321,direction,5.3565225371512915
322,chocolate,5.3565225371512915
323,putting,5.343384328981097
324,doorway,5.307139193862094
325,stepped,5.296214167814304
326,awful,5.272794921252172
327,boring,5.210164747422123
328,sunday,5.186284079476108
329,earlier,5.186284079476108
330,friendly,5.162545137396849
331,relief,5.115485771078504
332,grin,5.115485771078504
333,mood,5.115485771078504
334,wore,5.092162089835331
335,ha,5.079441541679836
336,police,5.053009652633372
337,disappeared,5.045918800231028
338,hundred,5.022996101395087
339,sam,4.955005795920803
340,american,4.955005795920803
341,legs,4.932596773726123
342,forever,4.888151872025841
343,ourselves,4.888151872025841
344,themselves,4.888151872025841
345,cold,4.888151872025841
346,bottom,4.888151872025841
347,shaking,4.8661132487819625
348,fit,4.844195385723459
349,mostly,4.757705529670797
350,including,4.736372145769347
351,poor,4.7151519368505745
352,step,4.7151519368505745
353,dogs,4.705514206058007
354,shot,4.694043708447198
355,squirt,4.682167784731842
356,bottle,4.682167784731842
357,played,4.673046284902624
358,nobody,4.673046284902624
359,angry,4.673046284902624
360,loud,4.673046284902624
361,unless,4.673046284902624
362,pull,4.673046284902624
363,jenny,4.65238087410037
364,quick,4.652158508978017
365,absolutely,4.652158508978017
366,gets,4.652158508978017
367,needs,4.610707360835831
368,thinks,4.610707360835831
369,movie,4.590141762834157
370,tired,4.54932508213719
371,fall,4.529071874311002
372,pair,4.529071874311002
373,suit,4.523640340608702
374,present,4.523640340608702
375,carolyn,4.492295458753297
376,married,4.488870530896996
377,somehow,4.488870530896996
378,lawn,4.479843942345243
379,station,4.479843942345243
380,takes,4.46892036485284
381,pike,4.46892036485284
382,staring,4.46892036485284
383,marilyn,4.46176051449172
384,houses,4.458183198424782
385,salad,4.458183198424782
386,tape,4.458183198424782
387,notice,4.4293160809219945
388,burst,4.4293160809219945
389,became,4.4293160809219945
390,shop,4.415325326682353
391,nervous,4.409660021712278
392,lit,4.394123825013075
393,letter,4.394123825013075
394,leaving,4.390100080535511
395,spier,4.390100080535511
396,nine,4.351264824027667
