,term,score
0,abby,302.4371664652038
1,kristy,265.0318627174624
2,claudia,181.93523190664675
3,stacey,177.67943700824566
4,lake,150.27168582517942
5,mary,143.42002185805907
6,snow,141.8260091219893
7,sergeant,131.2680261505675
8,cabin,95.26618271695095
9,mal,91.58583144616283
10,logan,82.94657155702158
11,johnson,82.2734657636691
12,bsc,73.87397963228275
13,mystery,65.3485119654524
14,sam,64.41507534697044
15,watson,62.83311870229728
16,shannon,54.49719808938892
17,police,53.8987696280893
18,rodowsky,46.911045134824846
19,jackie,46.03897100394082
20,fire,42.68147815792942
21,charlie,39.36672355249161
22,karen,38.40573357420675
23,notebook,37.569961399418595
24,window,33.27625152519933
25,jessi,33.00606355795402
26,shea,29.402917028641966
27,note,29.196679492691775
28,becca,28.876025137034233
29,man,26.835686713870427
30,van,26.829740243575024
31,eye,25.99192606970323
32,michael,25.701754566964436
33,david,25.701754566964436
34,chocolate,25.443482051468635
35,notes,25.020176851200002
36,guy,24.908929150132263
37,archie,24.145788428900257
38,desk,22.84414032614525
39,porch,22.84042798982062
40,station,20.905938397611138
41,andrew,19.730387094904493
42,brewer,19.46445299512785
43,robert,19.452407621664094
44,newspaper,19.225603496618763
45,report,19.106655143639816
46,although,19.077699756312235
47,cold,18.3305695200969
48,hot,18.19730032854876
49,worse,18.11628749724401
50,cary,17.93660827608035
51,weekend,17.681819763189655
52,tree,17.653219561189147
53,janine,16.8783893832862
54,vanessa,16.681164934558204
55,cokie,16.389933270950095
56,cat,16.29527959494383
57,shouted,16.173011209612127
58,tigger,16.165139545390296
59,pikes,16.034594059136165
60,james,15.831563411388297
61,claud,15.602329264521492
62,den,15.562684053388281
63,filled,15.433810075992973
64,screamed,15.078801135362339
65,anna,14.815289342476813
66,glass,14.79779032117837
67,excellent,14.788925766629816
68,dog,14.598339746345887
69,sharon,14.522918506273555
70,pizza,14.262281218559297
71,handed,14.20456479627516
72,warm,14.003445747047161
73,anybody,13.81323927883649
74,cars,13.771672839454789
75,news,13.77015683631719
76,brown,13.77015683631719
77,helped,13.77015683631719
78,street,13.77015683631719
79,headed,13.709266795255648
80,large,13.626265938782208
81,sent,13.626265938782208
82,library,13.570921021826106
83,stared,13.466611592690988
84,windows,13.453611840384589
85,road,13.43953182703573
86,dead,13.391306342878229
87,trip,13.261591658296302
88,fortunately,13.06434605192192
89,triplets,12.965710198690271
90,light,12.881129622657806
91,clue,12.848972644211997
92,air,12.824122389554631
93,grabbed,12.767384695203281
94,happening,12.443852666984567
95,lunch,12.28953100334531
96,dues,12.275781483820756
97,grinned,12.126565059708764
98,broken,12.108250656346131
99,its,12.072775221472655
100,pocket,12.052175708590406
101,officers,11.94106318618971
102,pet,11.938309202573834
103,ms,11.831140613303853
104,date,11.787879842126436
105,sitters,11.703435970603008
106,puppy,11.66861365716145
107,accident,11.605773597570282
108,taken,11.600148826754777
109,asleep,11.457364702129496
110,list,11.322679685777505
111,secretary,11.322679685777505
112,wow,11.22217632724249
113,bus,11.199948646030471
114,catch,11.172300912132101
115,staring,11.172300912132101
116,driving,11.120776623038804
117,member,11.024150054280694
118,jobs,10.975250201338778
119,shrieked,10.96543193618199
120,checked,10.878162060069167
121,closed,10.82996919570968
122,office,10.801612567745648
123,uh,10.686768657962194
124,sighed,10.639487246002734
125,joke,10.516716202973642
126,woman,10.420603293306602
127,possible,10.37409156188062
128,exclaimed,10.37409156188062
129,movie,10.327818966376853
130,count,10.230971542157008
131,ha,10.158883083359672
132,doors,10.155051897873998
133,glasses,10.145071570930142
134,gray,10.091837600462055
135,hurried,10.058498642947646
136,cookies,10.058498642947646
137,soccer,10.00847195737844
138,hit,9.79034585406225
139,nicky,9.776581348982067
140,listen,9.746972276138711
141,picture,9.746972276138711
142,bag,9.746972276138711
143,ahead,9.703806725767276
144,information,9.688390771446919
145,keeping,9.644793933306401
146,luck,9.644793933306401
147,barely,9.57553852140246
148,town,9.533185502065747
149,helping,9.515411059341593
150,calling,9.49103085825391
151,ones,9.49103085825391
152,claire,9.37391444001476
153,nobody,9.346092569805249
154,ring,9.346092569805249
155,driveway,9.202126677601937
156,ice,9.202126677601937
157,rooms,9.047280681217403
158,control,8.993155935554169
159,mallory,8.977741061793992
160,rock,8.959687884690487
161,page,8.959687884690487
162,pike,8.93784072970568
163,managed,8.898138414968649
164,key,8.880720500654567
165,folded,8.870703833421548
166,sense,8.858632161843989
167,disappeared,8.830357900404298
168,careful,8.790243177441402
169,boys,8.780200161071022
170,jordan,8.746142214074272
171,popcorn,8.738530824051898
172,act,8.710696866889197
173,junk,8.702529648055334
174,sitter,8.702529648055334
175,involved,8.671260142861405
176,pack,8.662807541110269
177,putting,8.549414926369755
178,shrugged,8.549414926369755
179,tomorrow,8.549414926369755
180,younger,8.511589796802188
181,locker,8.510180639885956
182,jacket,8.49953215996096
183,immediately,8.4391946916431
184,steps,8.4391946916431
185,practically,8.436471874003475
186,relieved,8.401254219357726
187,softly,8.401254219357726
188,backpack,8.249251874033106
189,groaned,8.185735163543866
190,michelle,8.185735163543866
191,unless,8.177830998579593
192,mansion,8.177830998579593
193,vacation,8.1652162824512
194,quick,8.14127739071153
195,mall,8.123722268377724
196,acting,8.109784782312325
197,clear,8.1049136725718
198,direction,8.034783805726937
199,frowned,7.960708790793141
200,practice,7.960708790793141
201,edge,7.960708790793141
202,awesome,7.9212654616040385
203,lines,7.881739564068473
204,names,7.855523429069743
205,none,7.82061063849247
206,stayed,7.7169050379964865
207,paused,7.708419373332145
208,worst,7.708419373332145
209,known,7.682675140937144
210,leaving,7.682675140937144
211,york,7.648611813378933
212,sweater,7.576301104169282
213,emily,7.466311600190741
214,thomas,7.447641072201915
215,worked,7.447641072201915
216,doctor,7.430305330707972
217,dinner,7.381912889753041
218,monday,7.381912889753041
219,nannie,7.358875544470589
220,homework,7.332227808038761
221,letter,7.323539708355126
222,bent,7.288451845061893
223,store,7.2335954499798
224,sight,7.2335954499798
225,pushed,7.10455821865402
226,including,7.10455821865402
227,silence,7.072727905275862
228,shot,7.041065562670798
229,checking,7.016275812286807
230,mentioned,6.947068862204401
231,interesting,6.916061041253746
232,wall,6.916061041253746
233,single,6.885212644251235
234,bright,6.885212644251235
235,forgotten,6.823987623205785
236,forgot,6.7936078114665035
237,extra,6.7936078114665035
238,art,6.763381047286761
239,gotten,6.70338054727926
240,shopping,6.6956531714391145
241,mad,6.673603811226487
242,notice,6.643974121382992
243,hardly,6.643974121382992
244,plenty,6.614490032568417
245,pass,6.603342857240437
246,stairs,6.585150120803267
247,announced,6.526897236041501
248,often,6.526897236041501
249,california,6.497981517425807
250,kishi,6.497981517425807
251,brothers,6.497981517425807
252,gasped,6.4828550993451355
253,break,6.46920448384485
254,surprise,6.46920448384485
255,plate,6.453181421746061
256,dance,6.423682811110121
257,drove,6.365202612294164
258,oldest,6.365202612294164
259,besides,6.3554570013771645
260,stepped,6.3554570013771645
261,sms,6.305391651254778
262,excuse,6.250255021170671
263,wears,6.250255021170671
264,weather,6.212002195266814
265,stupid,6.137890741910378
266,blood,6.120743484202128
267,promised,6.110189840032301
268,counter,6.0610408833354255
269,machine,6.0610408833354255
270,bathroom,6.027996208316501
271,team,6.027996208316501
272,chips,6.002216293776644
273,arnold,5.969154601286917
274,salad,5.944244264566377
275,listening,5.893939921063218
276,step,5.893939921063218
277,keeps,5.893939921063218
278,handle,5.893939921063218
279,famous,5.887100435576471
280,earrings,5.8588317666841006
281,adam,5.830761476049514
282,hiding,5.830761476049514
283,scary,5.802886798785141
284,bunch,5.789224051837001
285,speaking,5.789224051837001
286,wrote,5.763384201044789
287,moving,5.763384201044789
288,nose,5.737677203542696
289,settled,5.737677203542696
290,shut,5.7121017002088434
291,several,5.7121017002088434
292,interested,5.7121017002088434
293,pleased,5.693290902032683
294,schafer,5.686656352671488
295,pencil,5.666354773307307
296,himself,5.6613398428887525
297,somehow,5.611088163621245
298,baseball,5.586617913704038
299,lived,5.586150456066051
300,usual,5.586150456066051
301,christmas,5.568560423413349
302,carefully,5.561336509355406
303,expression,5.560388311519402
304,margo,5.560388311519402
305,became,5.536645101152493
306,ended,5.536645101152493
307,wondered,5.536645101152493
308,milk,5.534329587434627
309,questions,5.512075027140347
310,spier,5.487625100669389
311,nearby,5.482715968090995
312,somebody,5.482715968090995
313,nope,5.482715968090995
314,yup,5.482715968090995
315,drive,5.463294152413524
316,rolled,5.463294152413524
317,letters,5.4571567756959105
318,slightly,5.4571567756959105
319,familiar,5.4571567756959105
320,tears,5.4390810300345835
321,group,5.4390810300345835
322,threw,5.4390810300345835
323,waited,5.41498459785484
324,others,5.41498459785484
325,piece,5.3910037365373755
326,jumping,5.381444736153836
327,definitely,5.367137342774085
328,forth,5.3565225371512915
329,glance,5.3565225371512915
330,spent,5.343384328981097
331,finger,5.331754656159607
332,main,5.331754656159607
333,follow,5.331754656159607
334,basement,5.328432300392739
335,liked,5.319743623001367
336,explained,5.296214167814304
337,student,5.28267428579235
338,lifted,5.28267428579235
339,eight,5.272794921252172
340,pictures,5.258358101486821
341,kits,5.258358101486821
342,responsible,5.186284079476108
343,sunday,5.186284079476108
344,organized,5.138946248888097
345,thoughts,5.115485771078504
346,discovered,5.115485771078504
347,families,5.045918800231028
348,climbed,5.000204016936537
349,breakfast,5.000204016936537
350,spread,5.000204016936537
351,foot,4.932596773726123
352,low,4.932596773726123
353,associate,4.932596773726123
354,scared,4.910312593528302
355,ghost,4.89912976947072
356,pulling,4.8661132487819625
357,places,4.8661132487819625
358,games,4.844195385723459
359,strange,4.8223969666532005
360,tuesday,4.8223969666532005
361,envelope,4.8007603010017466
362,clients,4.800716696775844
363,problems,4.757705529670797
364,mostly,4.757705529670797
365,fingers,4.736372145769347
366,purple,4.729043738441083
367,crying,4.7151519368505745
368,planned,4.7151519368505745
369,neighborhood,4.7151519368505745
370,tonight,4.694043708447198
371,hoped,4.673046284902624
372,pull,4.673046284902624
373,pen,4.659001646450111
374,gets,4.652158508978017
375,ride,4.631379241469601
376,whether,4.610707360835831
377,jeans,4.590141762834157
378,junior,4.590141762834157
379,reach,4.569681360167075
380,seeing,4.54932508213719
381,join,4.529071874311002
382,pair,4.529071874311002
383,fall,4.529071874311002
384,party,4.529071874311002
385,young,4.508920698191174
386,empty,4.508920698191174
387,charges,4.5016622203324825
388,halloween,4.492295458753297
389,missed,4.488870530896996
390,backyard,4.479843942345243
391,green,4.46892036485284
392,takes,4.46892036485284
393,seems,4.46892036485284
394,connecticut,4.46892036485284
395,neither,4.4490692074843246
396,orange,4.436677729988945
397,meetings,4.4293160809219945
398,afraid,4.4293160809219945
399,shop,4.415325326682353
400,leaned,4.409660021712278
401,third,4.409660021712278
402,lit,4.394123825013075
403,raised,4.390100080535511
404,wonder,4.390100080535511
405,president,4.390100080535511
406,seat,4.370635321930819
407,college,4.352165099088856
408,quite,4.351264824027667
409,nine,4.351264824027667
410,broke,4.3319876782838715
411,example,4.331403770555134
412,makeup,4.310785132691848
413,scene,4.310785132691848
414,boyfriend,4.293709874219268
415,murmured,4.290307237480649
416,heading,4.290307237480649
417,admitted,4.290307237480649
418,sign,4.274707463184877
419,figure,4.274707463184877
420,clock,4.2182359370017375
421,awful,4.2182359370017375
422,softball,4.209765487372085
423,slow,4.15074719057597
424,pale,4.131329647059117
425,building,4.1120369760682465
426,add,4.1120369760682465
427,rushed,4.092867581771933
428,thrilled,4.092867581771933
429,movies,4.073819898735957
430,above,4.073819898735957
431,super,4.073819898735957
432,horrible,4.054892391156162
433,style,3.998815992119705
434,stepsister,3.998815992119705
435,director,3.998815992119705
436,skin,3.9803543953965703
437,twice,3.9803543953965703
438,snapped,3.943768576115116
439,certain,3.9076235605665923
440,noise,3.9076235605665923
441,lap,3.9076235605665923
442,certainly,3.889713059607081
443,child,3.871908853047637
444,tall,3.871908853047637
445,grinning,3.836614328308878
446,grin,3.836614328308878
447,relief,3.836614328308878
448,sports,3.836614328308878
449,coach,3.819350985510872
450,boxes,3.8191215673764987
451,lately,3.8191215673764987
452,stick,3.8017302143235208
453,crowd,3.8017302143235208
454,carrying,3.7844391001732705
455,insisted,3.7844391001732705
456,boo,3.77587101223806
457,realize,3.7672470760463153
458,toys,3.7501530127024028
