,term,score
0,abby,330.2932212712094
1,alan,222.92296988801337
2,cary,200.89001269209993
3,kristy,149.61476121147072
4,parade,148.99073304161206
5,mary,134.9835499840556
6,museum,125.61428360070998
7,cokie,122.92449953212572
8,stacey,118.09830843063035
9,ms,107.95915809639766
10,mallory,96.51071641428541
11,sean,77.11171283621498
12,halloween,76.36902279880604
13,mystery,73.72652631999757
14,jordan,68.51144734358179
15,eye,64.97981517425808
16,claudia,61.70902602681586
17,mal,59.47131912088496
18,shannon,49.65300270366546
19,jackie,46.03897100394082
20,notebook,41.86367127363786
21,police,40.42407722106697
22,group,35.897934798228256
23,jessi,35.36363952637931
24,logan,35.04784713676968
25,costume,34.75263611556683
26,shea,34.30340320008229
27,clue,31.204647850229136
28,coach,30.554807884086976
29,forward,30.05596911953488
30,newspaper,29.577851533259633
31,bsc,29.065172314340757
32,grace,28.74219970244564
33,dining,27.954009878700663
34,archie,26.828653809889175
35,claire,24.104351417180812
36,numbers,24.07762469071563
37,shop,23.548401742305884
38,man,22.54197683965116
39,pet,21.886900204718696
40,trip,21.700786349939403
41,closed,21.65993839141936
42,notes,20.60485152451765
43,bus,20.533239184389195
44,lights,20.11699728589529
45,homework,19.552607488103362
46,key,19.537585101440047
47,vanessa,19.461359090317906
48,gasped,19.448565298035405
49,light,19.321694433986707
50,karen,19.202866787103375
51,safe,19.13307641562353
52,stairs,18.657925342275924
53,wall,18.442829443343324
54,library,18.094561362434806
55,rooms,18.094561362434806
56,soccer,18.01524952328119
57,ghost,17.963475821392638
58,famous,17.661301306729413
59,cat,17.653219561189147
60,rodowsky,17.59164192555932
61,appeared,17.580486354882805
62,luck,16.8783893832862
63,headed,16.87294374800695
64,gray,16.39923610075084
65,woman,16.2098273451436
66,large,16.10376883674261
67,direction,16.069567611453873
68,sign,16.03015298694329
69,sms,15.763479128136947
70,desk,15.229426884096835
71,others,15.16195687399355
72,dressed,15.02798455976744
73,lit,14.647079416710252
74,steps,14.4671908999596
75,grabbed,13.831333419803554
76,officer,13.688237933683023
77,screamed,13.570921021826106
78,pike,13.40676109455852
79,led,13.347207622452974
80,sense,13.287948242765983
81,missing,13.20197091613357
82,bent,13.119213321111408
83,doors,13.056495297266567
84,sitters,12.767384695203281
85,explained,12.710914002754329
86,although,12.34439395996674
87,teacher,12.275781483820756
88,grinned,12.126565059708764
89,den,12.104309819301996
90,pushed,11.840930364423368
91,bought,11.787879842126436
92,candy,11.722870681699778
93,cover,11.722870681699778
94,unless,11.682615712256561
95,pack,11.550410054813693
96,wrote,11.526768402089578
97,scene,11.495427020511595
98,single,11.475354407085392
99,boo,11.32761303671418
100,list,11.322679685777505
101,longer,11.22217632724249
102,nicky,11.173235827408076
103,staring,11.172300912132101
104,glass,11.098342740883778
105,questions,11.024150054280694
106,its,10.975250201338778
107,history,10.914313551391821
108,sitter,10.878162060069167
109,immediately,10.850393174969701
110,chocolate,10.713045074302583
111,shopping,10.713045074302583
112,pocket,10.713045074302583
113,uh,10.686768657962194
114,including,10.65683732798103
115,class,10.639487246002734
116,officers,10.614278387724188
117,shoes,10.609091857913793
118,street,10.592428335628608
119,brown,10.592428335628608
120,exclaimed,10.37409156188062
121,pikes,10.20383258308665
122,join,10.190411717199755
123,glasses,10.145071570930142
124,crowd,10.137947238196055
125,anybody,10.045992202790174
126,emergency,9.963259078557195
127,shoulders,9.955082133587654
128,buddy,9.899102248839727
129,foot,9.865193547452247
130,seat,9.833929474344343
131,fortunately,9.79825953894144
132,checked,9.79034585406225
133,mall,9.74846672205327
134,children,9.746972276138711
135,dog,9.732226497563925
136,window,9.660847216993353
137,store,9.644793933306401
138,linny,9.580733234148546
139,report,9.553327571819908
140,dinner,9.49103085825391
141,ones,9.49103085825391
142,question,9.49103085825391
143,step,9.430303873701149
144,happens,9.430303873701149
145,hoped,9.346092569805249
146,style,9.330570648279313
147,frowned,9.287493589258665
148,loudly,9.221414721671662
149,bright,9.180283525668314
150,somehow,8.977741061793992
151,wow,8.977741061793992
152,muttered,8.952100099387382
153,discovered,8.952100099387382
154,houses,8.916366396849565
155,excellent,8.87335545997789
156,orange,8.87335545997789
157,aside,8.870703833421548
158,stick,8.870703833421548
159,afraid,8.858632161843989
160,burst,8.858632161843989
161,fire,8.830650653364707
162,leaned,8.819320043424556
163,careful,8.790243177441402
164,byron,8.78824765002615
165,adam,8.746142214074272
166,less,8.741270643861638
167,fashion,8.704330198177711
168,laughter,8.704330198177711
169,announced,8.702529648055334
170,ears,8.671260142861405
171,amazing,8.632044354020715
172,sixth,8.593047038674529
173,mark,8.575475521024922
174,air,8.549414926369755
175,information,8.477341925016054
176,helped,8.473942668502886
177,besides,8.473942668502886
178,sight,8.4391946916431
179,team,8.4391946916431
180,gathered,8.325984676923895
181,fingers,8.288651255096358
182,calm,8.251515889488505
183,handle,8.251515889488505
184,signed,8.123722268377724
185,nose,8.032748084959774
186,jewelry,7.99763198423941
187,skin,7.960708790793141
188,edge,7.960708790793141
189,totally,7.9258757800442545
190,himself,7.9258757800442545
191,project,7.924011428688525
192,joke,7.887537152230232
193,stared,7.855523429069743
194,writing,7.855523429069743
195,charge,7.82061063849247
196,plan,7.82061063849247
197,lunch,7.82061063849247
198,listened,7.785871113097568
199,yellow,7.708419373332145
200,raised,7.682675140937144
201,known,7.682675140937144
202,president,7.682675140937144
203,grin,7.673228656617756
204,quite,7.6147134420484175
205,often,7.6147134420484175
206,listen,7.580978436996775
207,broke,7.580978436996775
208,insisted,7.568878200346541
209,piece,7.547405231152325
210,break,7.547405231152325
211,ahead,7.547405231152325
212,shouted,7.547405231152325
213,suit,7.539400567681169
214,breakfast,7.5003060254048055
215,tomorrow,7.480738060573535
216,admit,7.480738060573535
217,worked,7.447641072201915
218,bet,7.414699834940025
219,associate,7.398895160589185
220,andrew,7.398895160589185
221,practically,7.381912889753041
222,stupid,7.365468890292453
223,jump,7.288451845061893
224,rain,7.261459253136778
225,offered,7.2010750451637655
226,allowed,7.2010750451637655
227,chairs,7.150512062467747
228,card,7.116613627540854
229,shouldn,7.10455821865402
230,date,7.072727905275862
231,hannie,7.0289926660996995
232,kinds,7.016275812286807
233,expression,6.950485389399253
234,downstairs,6.854522040250613
235,watson,6.854522040250613
236,several,6.854522040250613
237,yup,6.853394960113743
238,shrieked,6.853394960113743
239,forgotten,6.823987623205785
240,conversation,6.733305796345494
241,names,6.733305796345494
242,math,6.733305796345494
243,catch,6.70338054727926
244,usual,6.70338054727926
245,follow,6.664693320199508
246,wondered,6.643974121382992
247,member,6.614490032568417
248,lifted,6.603342857240437
249,papadakis,6.603081882288538
250,pictures,6.572947626858526
251,waved,6.555952982896228
252,threw,6.526897236041501
253,hate,6.526897236041501
254,whoa,6.512705934277654
255,outfit,6.512705934277654
256,box,6.497981517425807
257,triplets,6.4828550993451355
258,responsible,6.4828550993451355
259,turning,6.46920448384485
260,hasn,6.453181421746061
261,king,6.431606640768692
262,spent,6.412061194777316
263,barely,6.383692347601641
264,younger,6.383692347601641
265,stepped,6.3554570013771645
266,awesome,6.337012369283231
267,folded,6.336217023872535
268,calling,6.327353905502607
269,taken,6.327353905502607
270,continued,6.327353905502607
271,plastic,6.307398500288785
272,disappeared,6.307398500288785
273,carrying,6.307398500288785
274,realize,6.278745126743859
275,spread,6.250255021170671
276,act,6.221926333492283
277,low,6.165745967157655
278,legs,6.165745967157655
279,suppose,6.150932306743661
280,color,6.137890741910378
281,cars,6.120743484202128
282,ourselves,6.110189840032301
283,touch,6.110189840032301
284,cold,6.110189840032301
285,themselves,6.110189840032301
286,bottom,6.110189840032301
287,brewer,6.082641560977454
288,sweater,6.0610408833354255
289,counter,6.0610408833354255
290,keeping,6.027996208316501
291,learned,6.000895870969805
292,clients,6.000895870969805
293,normal,6.000895870969805
294,company,5.973941627795423
295,weekend,5.893939921063218
296,nearly,5.867554635558998
297,michael,5.841307856128281
298,david,5.841307856128281
299,hiding,5.830761476049514
300,teachers,5.830761476049514
301,cute,5.815198136222522
302,scary,5.802886798785141
303,example,5.775205027406846
304,interesting,5.763384201044789
305,hurried,5.747713510255798
306,begin,5.737677203542696
307,eighth,5.737677203542696
308,shut,5.7121017002088434
309,round,5.666354773307307
310,drew,5.636150872738968
311,lived,5.586150456066051
312,age,5.586150456066051
313,managed,5.561336509355406
314,brain,5.560388311519402
315,neck,5.534329587434627
316,pale,5.508439529412157
317,leaving,5.487625100669389
318,ideas,5.487625100669389
319,record,5.463294152413524
320,brothers,5.41498459785484
321,major,5.406523188208217
322,become,5.3910037365373755
323,windows,5.381444736153836
324,teeth,5.3565225371512915
325,shrugged,5.343384328981097
326,leaning,5.331754656159607
327,main,5.331754656159607
328,thomas,5.319743623001367
329,flew,5.307139193862094
330,hide,5.307139193862094
331,mine,5.296214167814304
332,town,5.296214167814304
333,kits,5.258358101486821
334,dumb,5.258358101486821
335,snapped,5.258358101486821
336,excitement,5.23418884366297
337,return,5.23418884366297
338,paid,5.210164747422123
339,noise,5.210164747422123
340,certainly,5.186284079476108
341,organized,5.138946248888097
342,heads,5.138946248888097
343,paused,5.138946248888097
344,relief,5.115485771078504
345,ha,5.079441541679836
346,rose,5.053009652633372
347,dollars,5.053009652633372
348,ground,5.022996101395087
349,sugar,5.022996101395087
350,cards,5.000834424497764
351,ballet,5.000204016936537
352,somewhere,4.955005795920803
353,silent,4.932596773726123
354,scared,4.910312593528302
355,promised,4.888151872025841
356,lying,4.888151872025841
357,using,4.8661132487819625
358,note,4.8661132487819625
359,genius,4.8661132487819625
360,closet,4.8661132487819625
361,sheet,4.849541863617088
362,hoping,4.8223969666532005
363,softly,4.800716696775844
364,wide,4.800716696775844
365,track,4.779153302236338
366,keeps,4.7151519368505745
367,listening,4.7151519368505745
368,dogs,4.705514206058007
369,mention,4.694043708447198
370,shot,4.694043708447198
371,written,4.652158508978017
372,quick,4.652158508978017
373,visit,4.631379241469601
374,clear,4.631379241469601
375,receiver,4.613199230057745
376,blood,4.590557613151596
377,body,4.590141762834157
378,buy,4.590141762834157
379,movie,4.590141762834157
380,porch,4.568085597964124
381,ear,4.54932508213719
382,hot,4.54932508213719
383,seeing,4.54932508213719
384,worse,4.529071874311002
385,none,4.46892036485284
386,green,4.46892036485284
387,ben,4.46176051449172
388,carefully,4.4490692074843246
389,ended,4.4293160809219945
390,meetings,4.4293160809219945
391,notice,4.4293160809219945
392,third,4.409660021712278
393,evening,4.409660021712278
394,explain,4.390100080535511
395,repeated,4.390100080535511
396,york,4.370635321930819
397,handed,4.370635321930819
398,glanced,4.370635321930819
399,upstairs,4.370635321930819
400,paint,4.352165099088856
401,nine,4.351264824027667
402,asking,4.351264824027667
403,junk,4.351264824027667
404,guy,4.3319876782838715
405,energy,4.331403770555134
406,surprise,4.3128029892299
407,murmured,4.290307237480649
408,pleased,4.269968176524513
409,sighed,4.255794898401094
410,pay,4.255794898401094
411,comes,4.236971334251443
412,anna,4.232939812136232
413,share,4.22969911552809
414,carried,4.22969911552809
415,strong,4.209765487372085
416,guilty,4.1120369760682465
417,nope,4.1120369760682465
418,add,4.1120369760682465
419,nearby,4.1120369760682465
420,whose,4.1120369760682465
421,groaned,4.092867581771933
422,familiar,4.092867581771933
423,uncle,4.077016729196808
424,everywhere,4.073819898735957
425,prepared,4.073819898735957
426,horrible,4.054892391156162
427,camera,4.052171689199694
428,sounding,4.036083552115377
429,dead,4.017391902863468
430,following,4.017391902863468
431,finger,3.998815992119705
432,opening,3.9620057143442624
433,send,3.943768576115116
434,boring,3.9076235605665923
435,planning,3.9076235605665923
436,center,3.9076235605665923
437,pop,3.8863963695881587
438,tall,3.871908853047637
439,plate,3.871908853047637
440,recently,3.871908853047637
441,happily,3.871908853047637
442,letting,3.8542096866660724
443,crossed,3.836614328308878
444,sports,3.836614328308878
445,hundred,3.7672470760463153
446,plans,3.7501530127024028
447,sent,3.716254346940602
448,terrible,3.6994475802945925
449,truth,3.6827344451462265
450,pointing,3.649584936586472
451,shaking,3.649584936586472
452,closer,3.649584936586472
453,fit,3.6331465392925946
454,bathroom,3.6167977249899
455,cake,3.5911243719760297
456,yourself,3.5843649766772536
457,shy,3.5843649766772536
458,poor,3.536363952637931
459,tonight,3.520532781335399
460,band,3.5141918103204377
461,blonde,3.504784713676968
462,nobody,3.504784713676968
463,gets,3.489118881733513
464,absolutely,3.489118881733513
465,works,3.489118881733513
466,wild,3.489118881733513
467,mentioned,3.4735344311022005
468,moving,3.458030520626873
469,jeans,3.4426063221256173
470,settled,3.4426063221256173
471,junior,3.4426063221256173
472,reach,3.4272610201253064
473,interested,3.4272610201253064
474,completely,3.4272610201253064
475,water,3.3968039057332517
476,grown,3.3816905236433805
477,empty,3.3816905236433805
478,young,3.3816905236433805
479,daddy,3.368673101755581
480,students,3.368673101755581
481,missed,3.366652898172747
482,married,3.366652898172747
483,wednesday,3.3368019056132434
484,puppy,3.3338896163318426
485,private,3.3072450162842086
486,filled,3.3072450162842086
487,starting,3.3072450162842086
488,grandmother,3.3072450162842086
489,joined,3.3072450162842086
490,regular,3.2925750604016333
491,wonder,3.2925750604016333
492,spier,3.2925750604016333
493,boys,3.2925750604016333
494,wonderful,3.2925750604016333
495,drive,3.277976491448114
496,rolled,3.277976491448114
497,cry,3.277976491448114
498,hit,3.2634486180207505
499,california,3.2489907587129037
500,kishi,3.2489907587129037
501,deal,3.234602241922425
502,game,3.234602241922425
503,tigger,3.233027909078059
504,definitely,3.2202824056644515
505,spoke,3.2202824056644515
506,putting,3.206030597388658
507,stage,3.200506867334498
508,liked,3.1918461738008204
509,changed,3.1918461738008204
510,awful,3.1636769527513033
511,squirt,3.1214451898212277
512,babies,3.0906753521422687
513,present,3.0157602270724677
514,lawn,2.9865626282301623
515,page,2.9865626282301623
516,tape,2.9721221322831886
517,nannie,2.9435502177882356
518,earrings,2.9294158833420503
519,row,2.9294158833420503
520,woke,2.887602513703423
521,sang,2.860204824987099
522,impressed,2.860204824987099
523,hat,2.8331773866536536
524,checking,2.806510324914723
525,softball,2.806510324914723
526,hallway,2.793308956852019
527,dying,2.793308956852019
528,however,2.793308956852019
529,pants,2.793308956852019
530,margo,2.780194155759701
531,daughter,2.7671647937173134
