,term,score
0,ethan,463.1907504513822
1,stacey,191.51077042804923
2,sergeant,160.08295872020426
3,abby,159.1774560343178
4,mary,147.6382577950608
5,kristy,143.2027000166934
6,johnson,99.29556212856616
7,christmas,92.80934039022249
8,anna,86.77526614879275
9,mallory,85.28854008704292
10,claudia,84.0519492434216
11,apartment,70.29249341808853
12,linny,69.46031594757696
13,police,55.583106178967085
14,hannie,53.88894377343103
15,claire,50.88696410293727
16,snow,46.59997442579648
17,jessi,44.79394340008046
18,watson,39.98471190146191
19,bsc,38.753563085787675
20,window,38.643388867973414
21,papadakis,37.417463999635046
22,neighborhood,36.54242751059195
23,rehearsal,35.92774962805705
24,pike,35.75136291882272
25,lights,34.48628106153478
26,mystery,31.836454547271682
27,wall,28.816921005223943
28,bent,27.69611701123519
29,street,26.48107083907152
30,mal,26.16738041318938
31,light,24.688831776760793
32,woman,24.314741017715402
33,train,23.3372273143229
34,building,23.30154286438673
35,shannon,23.009928082186434
36,sweater,22.728903312507846
37,practically,22.14573866925912
38,note,21.897509619518832
39,york,21.853176609654096
40,art,21.417373316408078
41,clue,20.191242726618853
42,pushed,20.129581619519726
43,tea,19.328054956762408
44,gasped,18.151994278166377
45,stepped,18.007128170568635
46,coffee,17.90242847058951
47,mess,17.52392356838484
48,coat,17.426784015528884
49,grabbed,17.023179593604375
50,although,16.833264490863733
51,staring,16.758451368198152
52,letters,16.37147032708773
53,box,16.24495379356452
54,mcgill,16.24495379356452
55,notebook,16.101412028322255
56,jackie,16.013555131805504
57,basement,15.98529690117822
58,doors,15.957938696659138
59,stared,15.711046858139486
60,strange,15.672790141622901
61,hospital,15.377330766859153
62,stairs,15.365350281874289
63,station,14.932813141150811
64,brown,14.82939966988005
65,broken,14.798973024423049
66,taken,14.763825779506082
67,paint,14.507216996962853
68,store,14.4671908999596
69,becca,14.438012568517117
70,became,14.395277262996482
71,grinned,14.331395070564904
72,california,14.078959954422583
73,michael,14.019138854707872
74,david,14.019138854707872
75,break,14.016609714997175
76,visit,13.894137724408802
77,windows,13.453611840384589
78,houses,13.374549595274349
79,claud,13.20197091613357
80,costume,13.032238543337561
81,closed,12.995963034851615
82,definitely,12.881129622657806
83,ring,12.850877283482218
84,artist,12.629296462116253
85,vanessa,12.510873700918655
86,blood,12.241486968404256
