,term,score
0,cabin,157.68195760047053
1,kristy,135.72196195611986
2,alex,108.09156711839788
3,margo,98.69689252946938
4,claudia,96.81933393862488
5,daddy,94.32284684915626
6,claire,83.02609932584502
7,stacey,80.86010306962078
8,andrew,80.1546975730495
9,nicky,76.81599631343053
10,michael,72.43221741599068
11,mary,69.60089296052867
12,vanessa,69.50485389399252
13,david,68.92743270231371
14,ride,56.73439570800261
15,man,55.81822836485049
16,karen,54.00806283872824
17,trip,51.84076739152191
18,boat,48.4373457789235
19,watson,44.55439326162898
20,exclaimed,43.8017199279404
21,pike,40.22028328367556
22,pikes,39.35763996333422
23,secret,37.98582310124914
24,adam,37.899949594321846
25,island,37.841201936557134
26,space,37.42845224612716
27,boys,36.21832566441797
28,mallory,35.91096424717597
29,parade,33.98034262352556
30,ghost,32.6608651298048
31,jordan,30.61149774925995
32,video,30.031769034950962
33,pool,26.735456898576103
34,sun,26.288065540314477
35,woman,24.314741017715402
36,breakfast,23.75096908044855
37,seats,23.548401742305884
38,triplets,23.338278357642487
39,beach,22.842246767082845
40,brothers,22.742935310990326
41,water,21.51309140297726
42,interesting,20.74818312376124
43,cream,20.274461955780815
44,excited,20.215025767405194
45,ice,19.71884288057558
46,birthday,19.122441493628727
47,byron,19.041203241723327
48,store,18.0839886249495
49,street,18.007128170568635
50,bought,17.681819763189655
51,nannie,17.661301306729413
52,main,17.32820263251872
53,spend,17.09882985273951
54,glanced,16.38988245724057
55,vacation,16.3304325649024
56,shop,16.189526197835296
57,stepped,15.888642503442911
58,pictures,15.775074304460464
59,sea,15.729501624150224
60,gotten,15.64122127698494
61,exciting,15.582475626595095
62,picture,15.16195687399355
63,kidding,14.98479892271645
64,bus,14.93326486137396
65,awesome,14.25827783088727
66,snow,14.182600912198929
67,beautiful,14.016609714997175
68,pen,13.977004939350332
69,air,13.892799255350852
70,figure,13.892799255350852
71,mine,13.77015683631719
72,climbed,13.750561046575475
73,eight,13.709266795255648
74,pink,13.503359632202832
75,pocket,13.391306342878229
76,brewer,13.381811434150396
77,games,13.321537310739513
78,bathroom,13.261591658296302
79,waved,13.111905965792456
80,scary,13.056495297266567
81,tigger,12.932111636312236
82,hoped,12.850877283482218
83,mansion,12.850877283482218
84,ones,12.654707811005213
85,movie,12.622889847793932
86,restaurant,12.48578075928491
87,board,12.241486968404256
88,popcorn,12.233943153672657
89,bottom,12.220379680064601
90,machine,12.122081766670851
91,repeated,12.072775221472655
92,missing,12.00179174193961
93,threw,11.965978266076084
94,guy,11.912966115280646
95,sitters,11.703435970603008
96,promise,11.562629059998217
97,awhile,11.526768402089578
98,wow,11.22217632724249
99,names,11.22217632724249
100,mad,11.122673018710811
101,scared,11.04820333543868
102,grinned,11.024150054280694
103,shrieked,10.96543193618199
104,group,10.878162060069167
105,movies,10.863519729962553
106,children,10.82996919570968
107,favorite,10.82996919570968
108,forward,10.73427468554817
109,spent,10.686768657962194
110,besides,10.592428335628608
111,suit,10.555160794753636
112,headed,10.545589842504343
113,whoa,10.420329494844246
114,center,10.420329494844246
115,boring,10.420329494844246
116,sad,10.327818966376853
117,entered,10.325090274793698
118,disappointed,10.325090274793698
119,tv,10.235981434808677
120,camera,10.130429222999236
121,charge,10.05507082091889
122,leaned,9.921735048852625
123,stairs,9.8777251812049
124,seat,9.833929474344343
125,desk,9.79034585406225
126,bag,9.746972276138711
127,others,9.746972276138711
128,pointing,9.732226497563925
129,ahead,9.703806725767276
130,notebook,9.660847216993353
131,shrugged,9.618091792165973
132,yup,9.594752944159241
133,pay,9.57553852140246
134,gorgeous,9.550024357467844
135,bet,9.533185502065747
136,taken,9.49103085825391
137,dinner,9.49103085825391
138,shoes,9.430303873701149
139,um,9.430303873701149
140,diabetes,9.417528288269212
141,dining,9.318003292900222
142,wild,9.304317017956034
143,twenty,9.221414721671662
144,paid,9.117788307988715
145,candy,9.117788307988715
146,tired,9.09865016427438
147,lunch,8.93784072970568
148,connecticut,8.93784072970568
149,key,8.880720500654567
150,burst,8.858632161843989
151,famous,8.830650653364707
152,wonderful,8.780200161071022
153,hiding,8.746142214074272
154,handed,8.741270643861638
155,cry,8.741270643861638
156,surprise,8.6256059784598
157,spoke,8.587419748438537
158,dressed,8.587419748438537
159,liked,8.511589796802188
160,round,8.49953215996096
161,question,8.436471874003475
162,interrupted,8.401254219357726
163,nearly,8.214576489782598
164,cute,8.14127739071153
165,crowded,8.034783805726937
166,buy,8.032748084959774
167,entire,7.996942380292381
168,twice,7.960708790793141
169,snapped,7.887537152230232
170,age,7.82061063849247
171,mimi,7.818507522470808
172,wondered,7.751303141613491
173,joined,7.7169050379964865
174,third,7.7169050379964865
175,filled,7.7169050379964865
176,paused,7.708419373332145
177,heads,7.708419373332145
178,cars,7.650929355252661
179,kiss,7.650929355252661
180,york,7.648611813378933
181,nine,7.6147134420484175
182,announced,7.6147134420484175
183,soda,7.613475996606873
184,folded,7.6034604286470415
185,stick,7.6034604286470415
186,crowd,7.6034604286470415
187,listen,7.580978436996775
188,waited,7.580978436996775
189,imagine,7.480738060573535
190,barely,7.447641072201915
191,sam,7.432508693881204
192,town,7.414699834940025
193,brown,7.414699834940025
194,notes,7.358875544470589
195,aunt,7.323539708355126
196,note,7.299169873172944
197,accident,7.253608498481427
198,throat,7.2335954499798
199,hug,7.2335954499798
200,energy,7.219006284258558
201,allowed,7.2010750451637655
202,chairs,7.150512062467747
203,expected,7.009569427353936
204,hallway,6.983272392130048
205,concerned,6.950485389399253
206,forgot,6.7936078114665035
207,everywhere,6.789699831226596
208,dollars,6.737346203511162
209,stared,6.733305796345494
210,sounding,6.7268059201922945
211,green,6.70338054727926
212,ball,6.664693320199508
213,doorway,6.633923992327617
214,questions,6.614490032568417
215,lay,6.603342857240437
216,excitement,6.542736054578713
