,term,score
0,camp,349.10578303217187
1,cabin,318.6489559842842
2,lake,110.72650534486904
3,charlotte,107.64131536801406
4,dance,87.36208623109763
5,mary,78.03736483453214
6,jessi,64.8333391316954
7,bus,61.59971755316759
8,stacey,56.38928240381449
9,mal,55.90303997363186
10,becca,54.86444776036504
11,logan,38.55263185044665
12,claudia,34.04635918720875
13,vanessa,33.36232986911641
14,twins,33.1672212894906
15,margo,31.97223279123656
16,boys,31.828225583882457
17,haley,31.64613988451151
18,van,28.893566416157718
19,movie,28.68838601771348
20,karen,27.6041210064611
21,nine,26.107588944166004
22,mallory,25.811005552657726
23,kristy,25.648244779109262
24,note,25.547094556105304
25,summer,25.208911170844946
26,stage,22.403548071341486
27,henry,21.883958574372105
28,dancing,21.451536187403242
29,crying,21.218183715827585
30,wrote,20.74818312376124
31,weeks,20.74818312376124
32,group,20.668507914131418
33,boyfriend,18.248266965431892
34,sleeping,16.99871443678248
35,junior,16.065496169919548
36,jackie,16.013555131805504
37,john,15.645633949332597
38,bag,15.16195687399355
39,giggled,14.865017387762409
40,mine,14.82939966988005
41,stepped,14.82939966988005
42,joke,14.460484779088757
43,evening,14.331395070564904
44,nervous,14.331395070564904
45,johanssen,14.25827783088727
46,york,14.20456479627516
47,mess,14.019138854707872
48,spoke,13.954557091212623
49,awhile,13.832122082507492
50,sitters,13.831333419803554
51,hugged,13.579399662453191
52,dumb,13.145895253717052
53,valentine,13.140163133372544
54,christmas,12.993307654631147
55,exclaimed,12.679445242298536
56,dinner,12.654707811005213
57,matt,12.382957035496165
58,gotten,12.28953100334531
59,porch,12.181561594570997
60,sick,12.126565059708764
61,diabetes,12.108250656346131
62,repeated,12.072775221472655
63,steps,12.055992416633002
64,mimi,11.727761283706212
65,earrings,11.717663533368201
66,ones,11.600148826754777
67,sang,11.440819299948396
68,stick,11.405190642970563
69,tired,11.373312705342975
70,ew,11.315597681773205
71,hundred,11.301741228138946
72,writing,11.22217632724249
73,ears,11.148763040821807
74,audience,11.074944124613419
75,song,11.016879058824314
76,themselves,10.998341712058142
77,sight,10.850393174969701
78,trip,10.850393174969701
79,others,10.82996919570968
80,ahead,10.782007473074751
81,window,10.73427468554817
82,mirror,10.5653485715847
83,david,10.514354141030905
84,michael,10.514354141030905
85,twenty,10.37409156188062
86,watson,10.281783060375918
87,pack,10.10660879796198
88,stared,10.099958694518241
89,pike,10.05507082091889
90,stupid,9.820625187056605
91,lying,9.776303744051681
92,rodowsky,9.77313440308851
93,immediately,9.644793933306401
94,rehearsal,9.580733234148546
95,helping,9.515411059341593
96,um,9.430303873701149
97,nearly,9.388087416894397
98,absolutely,9.304317017956034
99,wall,9.221414721671662
100,whether,9.221414721671662
101,yellow,8.993155935554169
102,mail,8.977810929940075
103,names,8.977741061793992
104,lunch,8.93784072970568
105,wednesday,8.898138414968649
106,crowd,8.870703833421548
107,joined,8.819320043424556
108,grinned,8.819320043424556
109,breakfast,8.75035702963894
110,eye,8.663975356567743
111,andrew,8.632044354020715
112,foot,8.632044354020715
113,shouted,8.6256059784598
114,scared,8.593047038674529
115,pleased,8.539936353049026
116,spot,8.515698185368434
117,barely,8.511589796802188
118,younger,8.511589796802188
119,excited,8.511589796802188
120,besides,8.473942668502886
121,park,8.465735902799727
122,throat,8.4391946916431
123,clock,8.436471874003475
124,continued,8.436471874003475
125,daddy,8.421682754388954
126,gathered,8.325984676923895
127,nope,8.224073952136493
128,terrific,8.14127739071153
129,covered,8.14127739071153
130,bunch,8.1049136725718
131,mama,8.048596142966751
132,skin,7.960708790793141
133,water,7.9258757800442545
134,catch,7.82061063849247
135,candy,7.815247121133185
136,squirt,7.803612974553069
137,certainly,7.779426119214162
138,afraid,7.751303141613491
139,hasn,7.743817706095274
140,stayed,7.7169050379964865
141,wonder,7.682675140937144
142,explain,7.682675140937144
143,blood,7.650929355252661
144,glanced,7.648611813378933
145,cry,7.648611813378933
146,drove,7.638243134752997
147,junk,7.6147134420484175
148,threw,7.6147134420484175
149,quite,7.6147134420484175
150,tears,7.6147134420484175
151,announced,7.6147134420484175
152,sugar,7.5344941520926305
153,careful,7.5344941520926305
154,notebook,7.51399227988372
155,bet,7.414699834940025
156,practically,7.381912889753041
157,eight,7.381912889753041
158,fire,7.358875544470589
159,touch,7.332227808038761
160,cold,7.332227808038761
161,rain,7.261459253136778
162,accident,7.253608498481427
163,claud,7.2010750451637655
164,allowed,7.2010750451637655
165,scene,7.1846418878197476
166,makeup,7.1846418878197476
167,heading,7.150512062467747
168,exciting,7.082943466634134
169,listening,7.072727905275862
170,shoes,7.072727905275862
171,shot,7.041065562670798
172,band,7.028383620640875
173,nobody,7.009569427353936
174,hoped,7.009569427353936
175,popcorn,6.990824659241518
176,gets,6.978237763467026
177,body,6.885212644251235
178,yup,6.853394960113743
179,tv,6.823987623205785
180,clean,6.823987623205785
181,hot,6.823987623205785
182,worse,6.7936078114665035
183,list,6.7936078114665035
184,extra,6.7936078114665035
185,movies,6.789699831226596
186,eleven,6.763381047286761
187,sisters,6.733305796345494
188,jumping,6.7268059201922945
189,charge,6.70338054727926
190,connecticut,6.70338054727926
191,following,6.6956531714391145
192,neither,6.673603811226487
193,wondered,6.643974121382992
194,notice,6.643974121382992
195,became,6.643974121382992
196,eating,6.614490032568417
197,grandmother,6.614490032568417
198,buddy,6.5994014992264844
199,ice,6.572947626858526
200,send,6.572947626858526
201,handed,6.555952982896228
202,kishi,6.497981517425807
203,king,6.431606640768692
204,tomorrow,6.412061194777316
205,headed,6.327353905502607
206,taken,6.327353905502607
207,ballet,6.250255021170671
208,smart,6.193757244901004
209,involved,6.193757244901004
210,kiss,6.120743484202128
211,apple,6.120743484202128
212,forever,6.110189840032301
213,stories,6.110189840032301
214,ramsey,6.082641560977454
215,horse,6.0610408833354255
216,sweater,6.0610408833354255
217,tuesday,6.027996208316501
218,relieved,6.000895870969805
219,mostly,5.947131912088496
220,doctor,5.944244264566377
221,including,5.920465182211684
222,tonight,5.867554635558998
223,letter,5.8588317666841006
224,stomach,5.841307856128281
225,cute,5.815198136222522
226,laughter,5.802886798785141
227,braddock,5.795695888620438
228,ride,5.789224051837001
229,ate,5.763384201044789
230,lights,5.747713510255798
231,single,5.737677203542696
232,grew,5.7121017002088434
233,ear,5.686656352671488
234,bags,5.666354773307307
235,slid,5.666354773307307
236,area,5.666354773307307
237,join,5.6613398428887525
238,although,5.611088163621245
239,missed,5.611088163621245
240,however,5.586617913704038
241,led,5.561336509355406
242,ended,5.536645101152493
243,neck,5.534329587434627
244,slow,5.534329587434627
245,third,5.512075027140347
246,questions,5.512075027140347
247,leaned,5.512075027140347
248,nancy,5.482715968090995
249,nearby,5.482715968090995
250,roll,5.482715968090995
251,honey,5.4571567756959105
252,letters,5.4571567756959105
253,sitter,5.4390810300345835
254,often,5.4390810300345835
255,tree,5.431759864981276
256,brothers,5.41498459785484
257,broke,5.41498459785484
258,giggling,5.406523188208217
259,star,5.381444736153836
260,light,5.367137342774085
261,definitely,5.367137342774085
262,direction,5.3565225371512915
263,imagine,5.343384328981097
264,spent,5.343384328981097
265,putting,5.343384328981097
266,air,5.343384328981097
267,uh,5.343384328981097
268,director,5.331754656159607
269,follow,5.331754656159607
270,project,5.28267428579235
271,awful,5.272794921252172
272,monday,5.272794921252172
273,question,5.272794921252172
274,cover,5.210164747422123
275,disappointed,5.162545137396849
276,friendly,5.162545137396849
277,music,5.115485771078504
278,decide,5.092162089835331
279,seconds,5.045918800231028
280,climbed,5.000204016936537
281,spread,5.000204016936537
282,shoulders,4.977541066793827
283,emily,4.977541066793827
284,large,4.955005795920803
285,subject,4.955005795920803
286,backpack,4.949551124419863
287,bottom,4.888151872025841
288,kit,4.874233361026635
289,pointing,4.8661132487819625
290,brewer,4.8661132487819625
291,field,4.849541863617088
292,proud,4.844195385723459
293,keeping,4.8223969666532005
294,learn,4.8223969666532005
295,gym,4.8007603010017466
296,interrupted,4.800716696775844
297,fight,4.800716696775844
298,report,4.776663785909954
299,poor,4.7151519368505745
300,pen,4.659001646450111
301,quick,4.652158508978017
302,written,4.652158508978017
303,hospital,4.613199230057745
304,sleep,4.610707360835831
305,loudly,4.610707360835831
306,finish,4.610707360835831
307,board,4.590557613151596
308,nose,4.590141762834157
309,begin,4.590141762834157
310,settled,4.590141762834157
311,bart,4.554800545761506
312,dear,4.545780662501569
313,pair,4.529071874311002
314,fall,4.529071874311002
315,totally,4.529071874311002
316,grown,4.508920698191174
317,somehow,4.488870530896996
318,road,4.479843942345243
319,none,4.46892036485284
320,lived,4.46892036485284
321,named,4.46892036485284
322,usual,4.46892036485284
323,green,4.46892036485284
324,managed,4.4490692074843246
325,ms,4.436677729988945
326,seats,4.415325326682353
327,starting,4.409660021712278
328,leaving,4.390100080535511
329,spier,4.390100080535511
330,seat,4.370635321930819
331,doors,4.352165099088856
332,hit,4.351264824027667
333,asking,4.351264824027667
334,guy,4.3319876782838715
335,woke,4.331403770555134
336,surprise,4.3128029892299
337,game,4.3128029892299
338,break,4.3128029892299
339,likes,4.3128029892299
340,forward,4.293709874219268
341,shrugged,4.274707463184877
342,spend,4.274707463184877
343,sign,4.274707463184877
344,figure,4.274707463184877
345,changed,4.255794898401094
346,sighed,4.255794898401094
347,liked,4.255794898401094
348,comes,4.236971334251443
349,helped,4.236971334251443
350,carried,4.22969911552809
351,luckily,4.189963435278028
352,milk,4.15074719057597
353,seventh,4.131329647059117
354,whose,4.1120369760682465
355,shrieked,4.1120369760682465
356,somebody,4.1120369760682465
357,gorgeous,4.092867581771933
358,slightly,4.092867581771933
359,familiar,4.092867581771933
360,snow,4.052171689199694
361,broken,4.036083552115377
362,jeremy,4.0226397264739155
363,simple,4.017391902863468
364,dead,4.017391902863468
365,teeth,4.017391902863468
366,leaning,3.998815992119705
367,million,3.9803543953965703
368,twice,3.9803543953965703
369,edge,3.9803543953965703
370,hide,3.9803543953965703
371,doorway,3.9803543953965703
372,raced,3.943768576115116
373,pictures,3.943768576115116
374,snapped,3.943768576115116
375,center,3.9076235605665923
376,whoa,3.9076235605665923
377,earlier,3.889713059607081
378,sunday,3.889713059607081
379,throw,3.871908853047637
380,tall,3.871908853047637
381,yesterday,3.871908853047637
382,plate,3.871908853047637
383,cleared,3.8542096866660724
384,letting,3.8542096866660724
385,promise,3.8542096866660724
386,heads,3.8542096866660724
387,feelings,3.836614328308878
388,sports,3.836614328308878
389,grinning,3.836614328308878
390,apart,3.836614328308878
391,wore,3.8191215673764987
392,embarrassed,3.7844391001732705
393,betsy,3.7814776696570274
394,ground,3.7672470760463153
395,appeared,3.7672470760463153
396,plans,3.7501530127024028
397,huh,3.716254346940602
398,terrible,3.6994475802945925
399,sigh,3.6661139040193804
400,ourselves,3.6661139040193804
401,dog,3.649584936586472
402,store,3.6167977249899
403,bathroom,3.6167977249899
404,hoping,3.6167977249899
405,normal,3.6005375225818828
406,softly,3.6005375225818828
407,track,3.5843649766772536
408,yourself,3.5843649766772536
409,shy,3.5843649766772536
410,barrett,3.5716120220853
411,problems,3.5682791472530972
412,fifteen,3.55227910932701
413,shouldn,3.55227910932701
414,yelled,3.55227910932701
415,bought,3.536363952637931
416,neighborhood,3.536363952637931
417,tiny,3.536363952637931
418,susan,3.5301632413761213
419,blonde,3.504784713676968
420,pull,3.504784713676968
421,wondering,3.489118881733513
422,charlie,3.4735344311022005
423,visit,3.4735344311022005
424,thinks,3.458030520626873
425,kidding,3.458030520626873
426,several,3.4272610201253064
427,entire,3.4272610201253064
428,dr,3.4220095959199037
429,forgot,3.3968039057332517
430,thirteen,3.3968039057332517
431,party,3.3968039057332517
432,ha,3.386294361119891
433,young,3.3816905236433805
434,empty,3.3816905236433805
435,drew,3.3816905236433805
436,reminded,3.3816905236433805
437,stace,3.368673101755581
438,conversation,3.366652898172747
439,age,3.35169027363963
440,seems,3.35169027363963
441,cards,3.3338896163318426
442,sense,3.321987060691496
443,burst,3.321987060691496
444,hardly,3.321987060691496
445,member,3.3072450162842086
446,private,3.3072450162842086
447,wonderful,3.2925750604016333
448,known,3.2925750604016333
449,rolled,3.277976491448114
450,record,3.277976491448114
451,ghost,3.26608651298048
452,children,3.2489907587129037
453,dressed,3.2202824056644515
454,man,3.2202824056644515
455,thomas,3.1918461738008204
456,worked,3.1918461738008204
457,brown,3.1777285006885823
458,calling,3.1636769527513033
459,lines,3.152695825627389
460,test,3.1370094707053378
461,dogs,3.1370094707053378
462,weather,3.106001097633407
463,babies,3.0906753521422687
464,cars,3.060371742101064
465,station,2.9865626282301623
466,orange,2.9577851533259634
467,pikes,2.915380738024757
468,singing,2.9014433993925706
469,hurried,2.873856755127899
470,english,2.873856755127899
471,emergency,2.8466454510163417
472,johnson,2.837016060816176
473,total,2.81979941035206
474,stuffed,2.806510324914723
475,checking,2.806510324914723
476,nicky,2.793308956852019
477,baseball,2.793308956852019
478,pants,2.793308956852019
479,building,2.7413579840454974
480,month,2.7285783878479553
481,rushed,2.7285783878479553
482,history,2.7285783878479553
483,wished,2.715879932490638
484,everywhere,2.715879932490638
485,earth,2.715879932490638
486,prepared,2.715879932490638
487,horrible,2.7032615941041085
488,rather,2.690722368076918
489,windows,2.690722368076918
490,honest,2.690722368076918
491,crowded,2.6782612685756457
492,claire,2.6782612685756457
493,pocket,2.6782612685756457
494,finger,2.6658773280798034
495,tossed,2.6658773280798034
496,ball,2.6658773280798034
497,jewelry,2.6658773280798034
498,mistake,2.641337142896175
499,lose,2.6291790507434105
500,return,2.617094421831485
501,noise,2.6050823737110615
502,months,2.6050823737110615
503,picking,2.593142039738054
504,gasped,2.593142039738054
505,happily,2.5812725686984246
506,space,2.5812725686984246
507,entered,2.5812725686984246
508,paused,2.5694731244440483
509,worst,2.5694731244440483
510,mood,2.557742885539252
511,boat,2.5493339883643946
512,lately,2.5460810449176656
513,numbers,2.534486809549014
514,loved,2.522959400115514
515,carrying,2.522959400115514
516,realize,2.5114980506975435
517,sweet,2.5001020084682684
518,thursday,2.5001020084682684
519,wears,2.5001020084682684
520,act,2.4887705333969135
521,somewhere,2.4775028979604015
522,sam,2.4775028979604015
523,legs,2.4662983868630617
524,glass,2.4662983868630617
525,silent,2.4662983868630617
526,low,2.4662983868630617
527,expect,2.455156296764151
528,truth,2.455156296764151
529,shea,2.450243085720164
