,term,score
0,kristy,145.34005374828584
1,snow,131.69557989899005
2,team,112.12072947468691
3,jessi,107.26970656335057
4,mary,94.91030858253909
5,bus,82.13295673755678
6,teachers,72.88451845061893
7,claud,70.8105712774437
8,dance,68.09103779776729
9,ms,65.0712733731712
10,claudia,59.58112857761532
11,stacey,58.51717985301504
12,contest,56.42464479262079
13,guy,56.31583981769033
14,war,55.3747206230671
15,mal,54.71361359121416
16,logan,43.22567813534928
17,ghost,42.45912466874624
18,children,34.65590142627097
19,practice,33.169619961638084
20,boys,31.828225583882457
21,ashley,29.865477947871394
22,dining,27.954009878700663
23,woman,27.788275448817604
24,camp,27.339609514567677
25,sms,26.797914517832808
26,alan,25.236562628831702
27,fight,25.20376265807318
28,breakfast,25.001020084682683
29,students,23.580711712289066
30,teacher,23.323984819259437
31,weather,23.295008232250552
32,win,23.180065141067015
33,trip,22.906385591602703
34,accident,21.76082549544428
35,dancing,21.451536187403242
36,stage,20.803294637674234
37,bsc,20.5878303893247
38,fifteen,18.94548858307739
39,ice,18.404253355203874
40,bottom,18.3305695200969
41,doctor,17.83273279369913
42,foot,17.26408870804143
43,man,17.174839496877073
44,project,17.168691428825138
45,ha,16.931471805599454
46,group,16.31724309010375
47,hit,16.31724309010375
48,camera,16.208686756798777
49,act,16.177008467079936
50,exclaimed,16.13747576292541
51,besides,15.888642503442911
52,bathroom,15.672790141622901
53,beat,15.363199262686106
54,nearly,15.255642052453394
55,police,15.159028957900116
56,song,15.148208705883432
57,seventh,15.148208705883432
58,library,15.078801135362339
59,audience,14.766592166151225
60,mallory,14.588829225415237
61,tigger,14.548625590851266
62,forward,13.954557091212623
63,tomorrow,13.892799255350852
64,eighth,13.77042528850247
65,sixth,13.503359632202832
66,road,13.43953182703573
67,lunch,13.40676109455852
68,fire,13.24597598004706
69,nervous,13.228980065136835
70,shouted,12.9384089676897
71,hoped,12.850877283482218
72,wow,12.34439395996674
73,managed,12.234940320581892
74,hardly,12.180619222535485
75,announced,11.965978266076084
76,gathered,11.894263824176992
77,tape,11.888488529132754
78,spoke,11.807702154102987
79,notes,11.774200871152942
80,mine,11.651671169191468
81,stepped,11.651671169191468
82,twenty,11.526768402089578
83,wrote,11.526768402089578
84,lights,11.495427020511595
85,crowd,11.405190642970563
86,although,11.22217632724249
87,however,11.173235827408076
88,hospital,10.764131536801406
89,dressed,10.73427468554817
90,class,10.639487246002734
91,crying,10.609091857913793
92,eight,10.545589842504343
93,lose,10.516716202973642
94,begin,10.327818966376853
95,grew,10.281783060375918
96,chairs,10.010716887454846
97,evening,9.921735048852625
98,silent,9.865193547452247
99,justin,9.855122350029408
100,cry,9.833929474344343
101,quite,9.79034585406225
102,stories,9.776303744051681
103,themselves,9.776303744051681
104,french,9.74846672205327
105,game,9.703806725767276
106,information,9.688390771446919
107,gym,9.601520602003493
108,barely,9.57553852140246
109,sitters,9.57553852140246
110,tonight,9.388087416894397
111,chocolate,9.37391444001476
112,entire,9.13936272033415
113,several,9.13936272033415
114,candy,9.117788307988715
115,tired,9.09865016427438
116,join,9.058143748622005
117,fall,9.058143748622005
118,paused,8.993155935554169
119,music,8.952100099387382
120,charge,8.93784072970568
121,neither,8.898138414968649
122,afraid,8.858632161843989
123,gray,8.830357900404298
124,carrying,8.830357900404298
125,singing,8.704330198177711
126,scary,8.704330198177711
127,tears,8.702529648055334
128,hate,8.702529648055334
129,broke,8.663975356567743
130,break,8.6256059784598
131,scene,8.621570265383696
132,changed,8.511589796802188
133,area,8.49953215996096
134,round,8.49953215996096
135,hat,8.49953215996096
136,luckily,8.379926870556057
137,coffee,8.262659294118235
138,planned,8.251515889488505
139,history,8.185735163543866
140,slightly,8.185735163543866
141,wished,8.147639797471914
142,cat,8.147639797471914
143,finish,8.068737881462704
144,awhile,8.068737881462704
145,downstairs,7.996942380292381
146,hot,7.961318893740082
147,ear,7.961318893740082
148,report,7.9611063098499235
149,lake,7.909036096062074
150,none,7.82061063849247
151,connecticut,7.82061063849247
152,gotten,7.82061063849247
153,certainly,7.779426119214162
154,starting,7.7169050379964865
155,ideas,7.682675140937144
156,feelings,7.673228656617756
157,blood,7.650929355252661
158,board,7.650929355252661
159,handed,7.648611813378933
160,drove,7.638243134752997
161,nine,7.6147134420484175
162,soda,7.613475996606873
163,others,7.580978436996775
