,term,score
0,jamie,255.89651602922842
1,boat,249.83473085971067
2,haley,241.30181661940026
3,jeff,210.58774632663412
4,becca,197.80077218868448
5,claudia,144.6970265456372
6,claud,134.42006750972362
7,mary,106.51045740929388
8,island,94.60300484139283
9,kristy,94.0435641900673
10,water,93.9782413919533
11,bart,63.76720764066109
12,center,58.614353408498886
13,stacey,57.453231128414764
14,logan,49.06698599147756
15,fire,48.56857859350589
16,jessi,45.9727313842931
17,charlotte,44.59425922389154
18,mal,39.25107061978407
19,beach,36.899014008364595
20,cecelia,34.23486778413656
21,weekend,34.18485154216667
22,rain,32.6765666391155
23,aunt,32.223574716762556
24,news,30.718042173322964
25,richard,29.845773006434587
26,newton,27.53351280902571
27,clock,26.36397460626086
28,candy,26.050823737110615
29,yelled,23.681860728846736
30,missing,22.803404309685256
31,mallory,22.44435265448498
32,exclaimed,21.9008599639702
33,doctor,20.80485492598232
34,tears,19.5806917081245
35,tomorrow,19.236183584331947
36,calling,18.98206171650782
37,bsc,18.165732696462975
38,bet,18.007128170568635
39,krushers,17.602787770339738
40,awhile,17.290152603134366
41,lucy,17.262840977847766
42,ahead,17.2512119569196
43,squirt,17.167948544016753
44,emergency,17.07987270609805
45,breakfast,16.250663055043745
46,others,16.24495379356452
47,jordan,16.034594059136165
48,woke,15.881813825368827
49,mirror,15.84802285737705
50,monday,15.818384763756516
51,keeping,15.672790141622901
52,connecticut,15.64122127698494
53,weather,15.530005488167035
54,win,15.453376760711343
55,um,15.324243794764367
56,families,15.137756400693082
57,shouted,15.09481046230465
58,crying,14.145455810551724
59,promise,14.132102184442266
60,game,14.016609714997175
61,warm,14.003445747047161
62,sun,13.835823968586567
63,awful,13.709266795255648
64,dr,13.688038383679615
65,cold,13.44241764807106
66,safe,13.24597598004706
67,fight,13.20197091613357
68,pikes,13.119213321111408
69,york,13.111905965792456
70,cry,13.111905965792456
71,yesterday,12.906362843492122
72,spoke,12.881129622657806
73,supplies,12.809904529573538
74,sighed,12.767384695203281
75,woman,12.736292914041401
76,sleep,12.679445242298536
77,picnic,12.568935301916104
78,empty,12.399531920025728
79,matt,12.382957035496165
80,mad,12.234940320581892
81,ourselves,12.220379680064601
82,sea,11.797126218112668
83,clear,11.578448103674003
84,johanssen,11.089771646245655
85,afraid,11.073290202304985
86,eating,11.024150054280694
87,sharon,10.892188879705166
88,nine,10.878162060069167
89,hugged,10.863519729962553
90,tuesday,10.850393174969701
91,carol,10.827851730271913
92,hospital,10.764131536801406
93,direction,10.713045074302583
94,uh,10.686768657962194
95,continued,10.545589842504343
96,send,10.516716202973642
97,speaking,10.420603293306602
98,ate,10.37409156188062
99,several,10.281783060375918
100,letter,10.252955591697177
101,hungry,10.137947238196055
102,crowd,10.137947238196055
103,numbers,10.137947238196055
104,laine,10.12803768464659
105,wondered,9.965961182074487
106,member,9.921735048852625
107,juice,9.82278613720153
108,vacation,9.79825953894144
109,hate,9.79034585406225
110,quite,9.79034585406225
111,beat,9.776581348982067
112,closer,9.732226497563925
113,braddock,9.659493147700731
114,sign,9.618091792165973
115,karen,9.601433393551687
116,interrupted,9.601433393551687
117,sitters,9.57553852140246
118,report,9.553327571819908
119,tonight,9.388087416894397
120,bottle,9.364335569463684
121,ring,9.346092569805249
122,nobody,9.346092569805249
123,practice,9.287493589258665
124,sleeping,9.272026056426807
125,kidding,9.221414721671662
126,hang,9.221414721671662
127,whoa,9.117788307988715
128,gotten,8.93784072970568
129,tape,8.916366396849565
130,meetings,8.858632161843989
131,video,8.832873245573813
132,upset,8.819320043424556
133,california,8.663975356567743
134,listen,8.663975356567743
135,children,8.663975356567743
136,forever,8.55426577604522
137,excited,8.511589796802188
138,besides,8.473942668502886
139,dinner,8.436471874003475
140,headed,8.436471874003475
141,daddy,8.421682754388954
142,strong,8.41953097474417
143,pieces,8.379926870556057
144,silence,8.251515889488505
145,nearly,8.214576489782598
146,expected,8.177830998579593
147,lips,8.147639797471914
148,kit,8.123722268377724
149,reach,7.996942380292381
150,grew,7.996942380292381
151,tired,7.961318893740082
152,tv,7.961318893740082
153,hot,7.961318893740082
154,although,7.855523429069743
155,none,7.82061063849247
156,pike,7.82061063849247
157,sunday,7.779426119214162
158,hasn,7.743817706095274
159,asleep,7.638243134752997
160,picture,7.580978436996775
161,dressed,7.51399227988372
162,giggled,7.432508693881204
163,mine,7.414699834940025
164,promised,7.332227808038761
165,earrings,7.323539708355126
166,mommy,7.301660596550784
167,throat,7.2335954499798
168,immediately,7.2335954499798
169,allowed,7.2010750451637655
170,problems,7.1365582945061945
171,gets,6.978237763467026
172,ride,6.947068862204401
173,completely,6.854522040250613
174,nope,6.853394960113743
175,ear,6.823987623205785
176,schafer,6.823987623205785
177,honey,6.821445969619888
178,himself,6.7936078114665035
179,prepared,6.789699831226596
180,conversation,6.733305796345494
181,longer,6.733305796345494
182,wow,6.733305796345494
183,sounding,6.7268059201922945
184,catch,6.70338054727926
185,train,6.667779232663685
186,edge,6.633923992327617
187,grinned,6.614490032568417
188,joined,6.614490032568417
189,lay,6.603342857240437
190,backpack,6.5994014992264844
191,ideas,6.585150120803267
192,lose,6.572947626858526
193,prezzioso,6.55928548402508
194,glanced,6.555952982896228
195,brothers,6.497981517425807
196,responsible,6.4828550993451355
197,triplets,6.4828550993451355
198,space,6.453181421746061
199,worst,6.423682811110121
200,paused,6.423682811110121
201,letting,6.423682811110121
202,putting,6.412061194777316
203,apart,6.39435721384813
204,barely,6.383692347601641
205,younger,6.383692347601641
206,drove,6.365202612294164
207,stepped,6.3554570013771645
208,stick,6.336217023872535
209,plastic,6.307398500288785
210,ground,6.278745126743859
211,smart,6.193757244901004
212,stupid,6.137890741910378
213,janine,6.027996208316501
214,learn,6.027996208316501
215,team,6.027996208316501
216,company,5.973941627795423
217,page,5.9731252564603246
218,angry,5.841307856128281
219,unless,5.841307856128281
220,whether,5.763384201044789
221,needs,5.763384201044789
222,possible,5.763384201044789
223,watson,5.7121017002088434
224,waving,5.666354773307307
225,drew,5.636150872738968
226,seems,5.586150456066051
227,charge,5.586150456066051
228,managed,5.561336509355406
229,neither,5.561336509355406
230,concerned,5.560388311519402
231,burst,5.536645101152493
232,nervous,5.512075027140347
233,stayed,5.512075027140347
234,sick,5.512075027140347
235,repeated,5.487625100669389
236,wonderful,5.487625100669389
237,its,5.487625100669389
238,add,5.482715968090995
239,shrieked,5.482715968090995
240,building,5.482715968090995
241,rolled,5.463294152413524
242,handed,5.463294152413524
243,asking,5.4390810300345835
244,wished,5.431759864981276
245,horrible,5.406523188208217
246,become,5.3910037365373755
247,man,5.367137342774085
248,teeth,5.3565225371512915
249,crowded,5.3565225371512915
250,air,5.343384328981097
251,director,5.331754656159607
252,changed,5.319743623001367
253,practically,5.272794921252172
254,taken,5.272794921252172
255,den,5.1875613511294265
256,entered,5.162545137396849
257,recently,5.162545137396849
258,heads,5.138946248888097
259,grinning,5.115485771078504
260,discovered,5.115485771078504
261,boxes,5.092162089835331
262,officer,4.977541066793827
263,bike,4.949551124419863
264,terrible,4.932596773726123
265,spot,4.8661132487819625
266,pointing,4.8661132487819625
267,genius,4.8661132487819625
268,sight,4.8223969666532005
269,faces,4.8223969666532005
270,hoping,4.8223969666532005
271,learned,4.800716696775844
272,yourself,4.779153302236338
273,helping,4.757705529670797
274,gathered,4.757705529670797
275,fair,4.736372145769347
276,fifteen,4.736372145769347
277,whenever,4.736372145769347
278,handle,4.7151519368505745
279,mention,4.694043708447198
280,hoped,4.673046284902624
281,jenny,4.65238087410037
282,covered,4.652158508978017
283,wondering,4.652158508978017
284,quick,4.652158508978017
285,absolutely,4.652158508978017
286,terrific,4.652158508978017
287,visit,4.631379241469601
288,bunch,4.631379241469601
289,mentioned,4.631379241469601
290,charlie,4.631379241469601
291,receiver,4.613199230057745
292,twenty,4.610707360835831
293,settled,4.590141762834157
294,fall,4.529071874311002
295,eleven,4.508920698191174
296,grown,4.508920698191174
297,listened,4.4490692074843246
298,hardly,4.4293160809219945
299,notes,4.415325326682353
300,evening,4.409660021712278
301,starting,4.409660021712278
302,plenty,4.409660021712278
303,jobs,4.390100080535511
304,wonder,4.390100080535511
305,divorced,4.390100080535511
306,president,4.390100080535511
307,waved,4.370635321930819
308,announced,4.351264824027667
309,checked,4.351264824027667
310,often,4.351264824027667
311,box,4.3319876782838715
312,waited,4.3319876782838715
