,term,score
0,stephie,654.6131154000902
1,carol,400.6305140200608
2,derek,264.8067009131395
3,stacey,150.01677016863854
4,mary,142.36546287380864
5,jessi,111.98485850020114
6,jeff,102.81637026535667
7,mal,90.39640506374514
8,kristy,87.63150299528999
9,claud,84.01254219357726
10,beach,77.31221982704963
11,sunny,61.67695790213909
12,claudia,57.453231128414764
13,jill,55.84569331683331
14,maggie,50.57310755930511
15,california,49.817858300264525
16,van,45.40417579681927
17,makeup,41.670922949354534
18,park,40.63553233343869
19,schafer,39.80659446870041
20,movie,39.01620498409033
21,ride,38.208878742124206
22,mallory,37.03318187990022
23,bsc,32.69831885363335
24,water,31.703503120177018
25,mall,29.245400166159808
26,exclaimed,27.664244165014985
27,vacation,26.12869210384384
28,lunch,25.696292097903832
29,museum,25.588094807552032
30,seats,25.020176851200002
31,boys,23.048025422811435
32,tv,21.609294140151654
33,blonde,21.02870828206181
34,however,20.949817176390145
35,scene,20.11699728589529
36,drove,19.095607836882493
37,seat,17.482541287723276
38,director,17.32820263251872
39,trip,16.8783893832862
40,loved,16.39923610075084
41,picnic,16.160059673892135
42,stage,16.00253433667249
43,dinner,15.818384763756516
44,restaurant,15.607225949106137
45,learned,15.602329264521492
46,luckily,15.363199262686106
47,king,15.007082161793614
48,tomorrow,14.96147612114707
49,accident,14.507216996962853
50,immediately,14.4671908999596
51,sleeping,13.90803908464021
52,hospital,13.839597690173237
53,excited,13.831333419803554
54,hugged,13.579399662453191
55,janine,13.261591658296302
56,leaving,13.170300241606533
57,drive,13.111905965792456
58,liked,12.767384695203281
59,driving,12.510873700918655
60,connecticut,12.28953100334531
61,color,12.275781483820756
62,cars,12.241486968404256
63,meetings,12.180619222535485
64,fight,12.00179174193961
65,sitter,11.965978266076084
66,guy,11.912966115280646
67,likes,11.860208220382226
68,spoke,11.807702154102987
69,definitely,11.807702154102987
70,bought,11.787879842126436
71,spent,11.755445523758413
72,class,11.703435970603008
73,sitters,11.703435970603008
74,buy,11.475354407085392
75,entire,11.424203400417687
76,gotten,11.172300912132101
77,couch,11.016879058824314
78,shrieked,10.96543193618199
79,building,10.96543193618199
80,movies,10.863519729962553
81,bathroom,10.850393174969701
82,others,10.82996919570968
83,yourself,10.75309493003176
84,pay,10.639487246002734
85,million,10.614278387724188
86,whoa,10.420329494844246
87,interesting,10.37409156188062
88,entered,10.325090274793698
89,dollars,10.106019305266743
90,mad,10.010405716839731
91,climbed,10.000408033873073
92,nervous,9.921735048852625
93,bike,9.899102248839727
94,york,9.833929474344343
95,waited,9.746972276138711
96,bag,9.746972276138711
97,sun,9.685076778010597
98,uh,9.618091792165973
99,allowed,9.601433393551687
100,drop,9.558306604472676
101,besides,9.533185502065747
102,comes,9.533185502065747
103,problems,9.515411059341593
104,clock,9.49103085825391
105,acting,9.46141557936438
106,wondering,9.304317017956034
107,woman,9.262758482939201
108,visit,9.262758482939201
109,thinks,9.221414721671662
110,interested,9.13936272033415
111,bart,9.109601091523013
112,seeing,9.09865016427438
113,wow,8.977741061793992
114,wednesday,8.898138414968649
115,neither,8.898138414968649
116,led,8.898138414968649
117,safe,8.830650653364707
118,cry,8.741270643861638
119,scary,8.704330198177711
120,announced,8.702529648055334
121,quite,8.702529648055334
122,smart,8.671260142861405
123,listen,8.663975356567743
124,closed,8.663975356567743
125,boyfriend,8.587419748438537
126,dressed,8.587419748438537
127,changed,8.511589796802188
128,bet,8.473942668502886
129,eight,8.436471874003475
130,calling,8.436471874003475
131,rose,8.421682754388954
132,pants,8.379926870556057
133,concerned,8.340582467279102
134,um,8.251515889488505
135,nearly,8.214576489782598
136,wild,8.14127739071153
137,absolutely,8.14127739071153
138,terrific,8.14127739071153
139,french,8.123722268377724
140,giggling,8.109784782312325
141,star,8.072167104230754
142,loudly,8.068737881462704
143,ate,8.068737881462704
144,awhile,8.068737881462704
145,crowded,8.034783805726937
146,hanging,7.961318893740082
147,tired,7.961318893740082
148,awesome,7.9212654616040385
149,young,7.890611221834554
150,art,7.890611221834554
151,paid,7.815247121133185
152,yesterday,7.743817706095274
153,evening,7.7169050379964865
154,wonder,7.682675140937144
155,president,7.682675140937144
156,grinning,7.673228656617756
157,board,7.650929355252661
158,brothers,7.580978436996775
159,shouted,7.547405231152325
160,appeared,7.5344941520926305
161,ground,7.5344941520926305
162,light,7.51399227988372
163,breakfast,7.5003060254048055
164,happening,7.466311600190741
165,sighed,7.447641072201915
166,subject,7.432508693881204
167,glass,7.398895160589185
168,awful,7.381912889753041
169,nannie,7.358875544470589
170,forever,7.332227808038761
171,letter,7.323539708355126
172,proud,7.266293078585189
173,relieved,7.2010750451637655
174,impressed,7.150512062467747
175,exciting,7.082943466634134
176,calm,7.072727905275862
177,hoped,7.009569427353936
178,science,6.953615088592265
179,quietly,6.947068862204401
180,kidding,6.916061041253746
181,twenty,6.916061041253746
182,bedroom,6.885212644251235
183,single,6.885212644251235
184,settled,6.885212644251235
185,body,6.885212644251235
186,shut,6.854522040250613
187,eleven,6.763381047286761
188,police,6.737346203511162
189,conversation,6.733305796345494
190,staring,6.70338054727926
191,secret,6.70338054727926
192,named,6.70338054727926
193,ben,6.69264077173758
194,stepsister,6.664693320199508
195,afraid,6.643974121382992
196,officers,6.633923992327617
197,joined,6.614490032568417
198,stayed,6.614490032568417
199,eating,6.614490032568417
200,mirror,6.603342857240437
201,neat,6.603342857240437
202,repeated,6.585150120803267
203,regular,6.585150120803267
204,spier,6.585150120803267
205,cabin,6.570081566686272
206,handed,6.555952982896228
207,excitement,6.542736054578713
208,asking,6.526897236041501
209,hit,6.526897236041501
210,outfit,6.512705934277654
211,responsible,6.4828550993451355
212,sunday,6.4828550993451355
213,window,6.440564811328903
214,paused,6.423682811110121
215,sign,6.412061194777316
216,air,6.412061194777316
217,street,6.3554570013771645
218,crowd,6.336217023872535
219,taken,6.327353905502607
220,monday,6.327353905502607
221,embarrassed,6.307398500288785
222,ballet,6.250255021170671
223,weather,6.212002195266814
224,foot,6.165745967157655
225,ourselves,6.110189840032301
226,spot,6.082641560977454
227,camera,6.078257533799541
228,counter,6.0610408833354255
229,fit,6.055244232154324
230,suit,6.031520454144935
231,lessons,6.031520454144935
232,luck,6.027996208316501
233,interrupted,6.000895870969805
234,wide,6.000895870969805
235,fair,5.920465182211684
236,final,5.915570306651927
237,poor,5.893939921063218
238,handle,5.893939921063218
239,date,5.893939921063218
240,fire,5.887100435576471
241,mimi,5.863880641853106
242,row,5.8588317666841006
243,nobody,5.841307856128281
244,gets,5.815198136222522
245,doors,5.802886798785141
246,bunch,5.789224051837001
247,needs,5.763384201044789
248,emergency,5.693290902032683
249,pleased,5.693290902032683
250,obviously,5.666354773307307
251,carried,5.63959882070412
252,drew,5.636150872738968
253,grown,5.636150872738968
254,sisters,5.611088163621245
255,moments,5.586617913704038
256,catch,5.586150456066051
257,lived,5.586150456066051
258,sick,5.512075027140347
259,coffee,5.508439529412157
260,decision,5.508439529412157
261,garden,5.506702561805142
262,explain,5.487625100669389
263,nancy,5.482715968090995
264,honey,5.4571567756959105
265,month,5.4571567756959105
266,tough,5.4571567756959105
267,checked,5.4390810300345835
268,nine,5.4390810300345835
269,often,5.4390810300345835
270,prepared,5.431759864981276
271,everywhere,5.431759864981276
272,box,5.41498459785484
273,honest,5.381444736153836
274,notebook,5.367137342774085
275,glance,5.3565225371512915
276,teeth,5.3565225371512915
277,putting,5.343384328981097
278,ball,5.331754656159607
279,flew,5.307139193862094
280,video,5.299723947344288
281,rules,5.28267428579235
282,ones,5.272794921252172
283,lake,5.2726907307080495
284,born,5.23418884366297
285,center,5.210164747422123
286,cover,5.210164747422123
287,certainly,5.186284079476108
288,gasped,5.186284079476108
289,earlier,5.186284079476108
290,happily,5.162545137396849
291,feelings,5.115485771078504
292,muttered,5.115485771078504
293,numbers,5.068973619098028
294,daddy,5.053009652633372
295,careful,5.022996101395087
296,act,4.977541066793827
297,invited,4.977541066793827
298,giggled,4.955005795920803
299,ways,4.955005795920803
300,associate,4.932596773726123
301,pink,4.910312593528302
302,stupid,4.910312593528302
303,touch,4.888151872025841
304,promised,4.888151872025841
305,places,4.8661132487819625
306,shaking,4.8661132487819625
307,hug,4.8223969666532005
308,shy,4.779153302236338
309,yelled,4.736372145769347
310,including,4.736372145769347
311,shoes,4.7151519368505745
312,pen,4.659001646450111
313,written,4.652158508978017
314,covered,4.652158508978017
315,works,4.652158508978017
316,wall,4.610707360835831
317,weeks,4.610707360835831
318,completely,4.569681360167075
319,extra,4.529071874311002
320,himself,4.529071874311002
321,thirteen,4.529071874311002
322,reminded,4.508920698191174
323,married,4.488870530896996
324,although,4.488870530896996
325,missed,4.488870530896996
326,lawn,4.479843942345243
327,danielle,4.474624850216973
328,pike,4.46892036485284
329,age,4.46892036485284
330,excellent,4.436677729988945
331,famous,4.415325326682353
332,plenty,4.409660021712278
333,questions,4.409660021712278
334,private,4.409660021712278
335,starting,4.409660021712278
336,wonderful,4.390100080535511
337,jobs,4.390100080535511
338,raised,4.390100080535511
339,dream,4.373071107037136
340,junk,4.351264824027667
341,picture,4.3319876782838715
342,english,4.310785132691848
343,man,4.293709874219268
344,shrugged,4.274707463184877
345,admit,4.274707463184877
346,younger,4.255794898401094
347,hat,4.24976607998048
348,bags,4.24976607998048
349,jacket,4.24976607998048
350,brown,4.236971334251443
351,stepped,4.236971334251443
352,continued,4.2182359370017375
353,kinds,4.209765487372085
354,bored,4.209765487372085
355,juice,4.209765487372085
356,stuffed,4.209765487372085
357,dying,4.189963435278028
358,hallway,4.189963435278028
359,slow,4.15074719057597
360,seventh,4.131329647059117
361,nearby,4.1120369760682465
362,nope,4.1120369760682465
363,gorgeous,4.092867581771933
364,groaned,4.092867581771933
365,letters,4.092867581771933
366,above,4.073819898735957
367,tree,4.073819898735957
368,horrible,4.054892391156162
369,cecelia,4.027631504016066
370,dead,4.017391902863468
371,pocket,4.017391902863468
372,leaning,3.998815992119705
373,edge,3.9803543953965703
374,twice,3.9803543953965703
375,pass,3.9620057143442624
376,raced,3.943768576115116
377,ice,3.943768576115116
378,sea,3.932375406037556
379,return,3.9256416327472277
380,noise,3.9076235605665923
381,lap,3.9076235605665923
382,disappointed,3.871908853047637
383,classes,3.871908853047637
384,yellow,3.8542096866660724
385,control,3.8542096866660724
386,promise,3.8542096866660724
387,coach,3.819350985510872
388,asleep,3.8191215673764987
389,decide,3.8191215673764987
390,families,3.7844391001732705
391,seconds,3.7844391001732705
392,hundred,3.7672470760463153
393,plans,3.7501530127024028
394,excuse,3.7501530127024028
395,wears,3.7501530127024028
396,somewhere,3.716254346940602
397,large,3.716254346940602
398,low,3.6994475802945925
399,silent,3.6994475802945925
400,scared,3.6827344451462265
401,sigh,3.6661139040193804
402,genius,3.649584936586472
403,hoping,3.6167977249899
404,team,3.6167977249899
405,tuesday,3.6167977249899
406,learn,3.6167977249899
407,normal,3.6005375225818828
408,gathered,3.5682791472530972
409,mostly,3.5682791472530972
410,gently,3.5682791472530972
411,treasurer,3.5682791472530972
412,whenever,3.55227910932701
413,shouldn,3.55227910932701
414,fifteen,3.55227910932701
415,silence,3.536363952637931
416,step,3.536363952637931
417,mention,3.520532781335399
418,tonight,3.520532781335399
419,stomach,3.504784713676968
420,unless,3.504784713676968
421,pull,3.504784713676968
422,quick,3.489118881733513
423,john,3.4768075442961326
424,speaking,3.4735344311022005
425,whether,3.458030520626873
426,sleep,3.458030520626873
427,wrote,3.458030520626873
428,begin,3.4426063221256173
429,dress,3.4426063221256173
430,watson,3.4272610201253064
431,several,3.4272610201253064
432,grew,3.4272610201253064
433,forgotten,3.4119938116028923
434,join,3.3968039057332517
435,ducky,3.3760125615488628
436,stace,3.368673101755581
437,stared,3.366652898172747
438,somehow,3.366652898172747
439,charge,3.35169027363963
440,none,3.35169027363963
441,managed,3.3368019056132434
442,carefully,3.3368019056132434
443,loves,3.3368019056132434
444,burst,3.321987060691496
445,ended,3.321987060691496
446,leaned,3.3072450162842086
447,grandmother,3.3072450162842086
448,rolled,3.277976491448114
449,record,3.277976491448114
450,tears,3.2634486180207505
451,group,3.2634486180207505
452,children,3.2489907587129037
453,eye,3.2489907587129037
454,game,3.234602241922425
455,garage,3.233027909078059
456,field,3.233027909078059
457,forward,3.2202824056644515
458,imagine,3.206030597388658
459,worked,3.1918461738008204
460,barely,3.1918461738008204
461,news,3.1777285006885823
462,coat,3.1685061846416156
463,headed,3.1636769527513033
464,practically,3.1636769527513033
465,question,3.1636769527513033
466,receiver,3.0754661533718304
467,blood,3.060371742101064
468,dear,3.0305204416677127
469,greeted,2.9865626282301623
470,ashley,2.9865477947871395
471,salad,2.9721221322831886
472,doctor,2.9721221322831886
473,lit,2.9294158833420503
474,aunt,2.9294158833420503
475,adam,2.915380738024757
476,jump,2.915380738024757
477,drawing,2.915380738024757
478,woke,2.887602513703423
479,becca,2.887602513703423
480,cookies,2.873856755127899
481,fancy,2.873856755127899
482,hurried,2.873856755127899
483,slid,2.8331773866536536
484,share,2.81979941035206
485,checking,2.806510324914723
486,brain,2.780194155759701
487,pale,2.7542197647060784
488,song,2.7542197647060784
489,guilty,2.7413579840454974
490,somebody,2.7413579840454974
491,roll,2.7413579840454974
492,slightly,2.7285783878479553
493,rushed,2.7285783878479553
494,super,2.715879932490638
495,wished,2.715879932490638
496,major,2.7032615941041085
497,jumping,2.690722368076918
498,diabetes,2.690722368076918
499,spotted,2.6782612685756457
500,simple,2.6782612685756457
501,claire,2.6782612685756457
502,shopping,2.6782612685756457
503,style,2.6658773280798034
504,snapped,2.6291790507434105
505,driveway,2.6291790507434105
506,send,2.6291790507434105
