,term,score
0,laine,418.625557632059
1,quint,323.8691939121029
2,stacey,182.99918063124704
3,apartment,129.93460904555758
4,mary,126.54707811005213
5,jessi,116.70001043705172
6,mal,90.39640506374514
7,york,87.41270643861638
8,kristy,72.67002687414292
9,claudia,60.64507730221559
10,museum,58.154760926254625
11,claud,49.2073461419524
12,street,47.665927510328736
13,dog,47.444604175624136
14,park,47.40812105567847
15,children,45.48587062198065
16,mallory,43.76648767624571
17,mcgill,43.31987678283872
18,man,41.86367127363786
19,drawing,37.899949594321846
20,building,35.637653792591465
21,tyler,35.420655145358566
22,exclaimed,34.58030520626873
23,hat,33.99812863984384
24,bill,33.36232986911641
25,bus,29.86652972274792
26,pet,29.845773006434587
27,art,29.307984538242632
28,train,28.338061738820663
29,store,26.523183316592604
30,center,26.050823737110615
31,guy,24.908929150132263
32,restaurant,23.410838923659206
33,boat,22.944005895279552
34,boxes,22.914729404258992
35,bought,21.218183715827585
36,classes,20.650180549587397
37,rain,19.96901294612614
38,animals,19.69693807392908
39,station,19.412657083496054
40,spoke,19.321694433986707
41,cream,18.92283115872876
42,shopping,17.408698245741697
43,pack,17.325615082220537
44,louie,17.151701600041147
45,ice,17.08966382983217
46,bsc,16.954683850032108
47,vacation,16.3304325649024
48,fire,16.189526197835296
49,shop,16.189526197835296
50,dressed,16.101412028322255
51,lived,15.64122127698494
52,closed,15.16195687399355
53,students,15.159028957900116
54,weeks,14.98479892271645
55,buy,14.917960729211009
56,pay,14.89528214440383
57,lunch,14.523991185771731
58,fair,14.20911643730804
59,glanced,14.20456479627516
60,window,13.954557091212623
61,class,13.831333419803554
62,library,13.570921021826106
63,ha,13.545177444479563
64,trip,13.261591658296302
65,box,12.995963034851615
66,entered,12.906362843492122
67,dance,12.847365622220241
68,liked,12.767384695203281
69,eight,12.654707811005213
70,wonderful,12.072775221472655
71,sight,12.055992416633002
72,following,12.052175708590406
73,announced,11.965978266076084
74,candy,11.722870681699778
75,worked,11.703435970603008
76,tall,11.61572655914291
77,doors,11.605773597570282
78,ballet,11.250459038107207
79,artist,11.226041299658892
80,andrew,11.098342740883778
81,afraid,11.073290202304985
82,dogs,10.979533147468683
83,nearby,10.96543193618199
84,ramsey,10.948754809759416
85,brothers,10.82996919570968
86,ahead,10.782007473074751
87,tomorrow,10.686768657962194
88,imagine,10.686768657962194
89,barely,10.639487246002734
90,um,10.609091857913793
91,stepped,10.592428335628608
92,screamed,10.555160794753636
93,visit,10.420603293306602
94,awhile,10.37409156188062
95,bedroom,10.327818966376853
96,famous,10.302425762258824
97,watson,10.281783060375918
98,entire,10.281783060375918
99,promise,10.277892497776193
100,connecticut,10.05507082091889
101,led,10.010405716839731
102,toys,10.000408033873073
103,wondered,9.965961182074487
104,emily,9.955082133587654
105,grinned,9.921735048852625
106,leaving,9.8777251812049
107,checked,9.79034585406225
108,ourselves,9.776303744051681
109,tuesday,9.644793933306401
110,excited,9.57553852140246
111,bet,9.533185502065747
112,town,9.533185502065747
113,cat,9.505579763717234
114,everywhere,9.505579763717234
115,poor,9.430303873701149
116,david,9.346092569805249
117,wondering,9.304317017956034
118,ride,9.262758482939201
119,mirror,9.244680000136611
120,hospital,9.22639846011549
121,whether,9.221414721671662
122,sleep,9.221414721671662
123,grew,9.13936272033415
124,soda,9.136171195928249
125,paid,9.117788307988715
126,speak,9.058143748622005
127,lessons,9.047280681217403
128,study,9.003324440664965
129,sisters,8.977741061793992
130,decide,8.911283657211829
131,wednesday,8.898138414968649
132,repeated,8.780200161071022
133,wonder,8.780200161071022
134,pikes,8.746142214074272
135,confused,8.710696866889197
136,nine,8.702529648055334
137,waited,8.663975356567743
138,heading,8.580614474961298
139,shrugged,8.549414926369755
140,pointing,8.515698185368434
141,sighed,8.511589796802188
142,luck,8.4391946916431
143,monday,8.436471874003475
144,stace,8.421682754388954
145,bored,8.41953097474417
146,allowed,8.401254219357726
147,hallway,8.379926870556057
148,however,8.379926870556057
149,coffee,8.262659294118235
150,listening,8.251515889488505
151,planned,8.251515889488505
152,history,8.185735163543866
153,michael,8.177830998579593
154,terrific,8.14127739071153
155,spotted,8.034783805726937
156,crowded,8.034783805726937
157,chocolate,8.034783805726937
158,settled,8.032748084959774
159,begin,8.032748084959774
160,several,7.996942380292381
161,tv,7.961318893740082
162,himself,7.9258757800442545
163,student,7.924011428688525
164,glasses,7.890611221834554
165,pike,7.82061063849247
