,term,score
0,quint,293.0245087776169
1,snow,253.2607305749809
2,bart,200.41122401350628
3,gabbie,125.2326977795655
4,myriah,106.53456626117563
5,mary,92.80119061403822
6,jeff,86.71260142861405
7,mal,77.31271485715044
8,dance,62.95209154887918
9,karen,60.00895870969805
10,claire,53.565225371512916
11,stacey,46.813743882412034
12,exclaimed,41.49636624752248
13,tomorrow,40.609720900256335
14,weather,37.27201317160089
15,christmas,37.123736156088995
16,adam,36.44225922530946
17,nicky,36.31301643907625
18,kristy,35.26633657127524
19,mall,34.119633527186444
20,daddy,33.686731017555815
21,radio,33.22483237384026
22,jessi,33.00606355795402
23,rehearsal,31.137383010982774
24,vanessa,30.58213571335671
25,michael,30.374800851867057
26,david,30.374800851867057
27,sleep,29.9695978454329
28,emily,29.865246400762963
29,breakfast,28.751173097385085
30,andrew,28.36243144892521
31,window,27.909114182425245
32,wednesday,27.80668254677703
33,dinner,26.36397460626086
34,honey,25.921494684555576
35,pike,25.696292097903832
36,watson,25.13324748091891
37,logan,24.53349299573878
38,richard,23.876618405147667
39,margo,23.63165032395746
40,mallory,23.56657028720923
41,bsc,23.009928082186434
42,bathroom,22.906385591602703
43,nannie,22.076626633411767
44,byron,21.970619125065376
45,mommy,21.904981789652354
46,brothers,21.65993839141936
47,claudia,21.278974492005467
48,clock,21.091179685008687
49,sam,21.05877463266341
50,road,20.905938397611138
51,drive,19.667858948688686
52,homework,19.552607488103362
53,claud,19.202866787103375
54,pikes,18.949974797160923
55,lights,18.680068908331343
56,york,18.57520011820598
57,man,18.248266965431892
58,younger,18.08712831820465
59,station,17.919375769380974
60,jordan,17.492284428148544
61,street,16.947885337005772
62,train,16.669448081659212
63,announced,16.31724309010375
64,closed,16.24495379356452
65,teachers,16.034594059136165
66,ice,15.775074304460464
67,sisters,15.711046858139486
68,connecticut,15.64122127698494
69,evening,15.433810075992973
70,wonderful,15.365350281874289
71,glanced,15.297223626757866
72,tonight,15.255642052453394
73,light,15.02798455976744
74,whether,14.98479892271645
75,awhile,14.98479892271645
76,cream,14.867938767572596
77,crying,14.145455810551724
78,popcorn,13.981649318483036
79,boyfriend,13.954557091212623
80,several,13.709044080501226
81,sweater,13.637341987504707
82,stamford,13.570921021826106
83,boys,13.170300241606533
84,children,12.995963034851615
85,california,12.995963034851615
86,um,12.96666782633908
87,nearly,12.908620198229796
88,spend,12.824122389554631
89,ate,12.679445242298536
90,coat,12.674024738566462
91,hungry,12.67243404774507
92,legs,12.33149193431531
93,cars,12.241486968404256
94,honest,12.108250656346131
95,upstairs,12.019247135309753
96,safe,11.774200871152942
97,spent,11.755445523758413
98,sign,11.755445523758413
99,visit,11.578448103674003
100,charlie,11.578448103674003
101,asleep,11.457364702129496
102,ballet,11.250459038107207
103,sms,11.034435389695862
104,joined,11.024150054280694
105,coffee,11.016879058824314
106,yup,10.96543193618199
107,shrieked,10.96543193618199
108,store,10.850393174969701
109,guy,10.82996919570968
110,missing,10.801612567745648
111,windows,10.762889472307672
112,forward,10.73427468554817
113,mama,10.73146152395567
114,kiss,10.711301097353724
115,counter,10.606821545836995
116,besides,10.592428335628608
117,junior,10.327818966376853
118,reach,10.281783060375918
119,doors,10.155051897873998
120,stace,10.106019305266743
121,makeup,10.058498642947646
122,listened,10.010405716839731
123,its,9.8777251812049
124,quite,9.79034585406225
125,couch,9.639769176471274
126,report,9.553327571819908
127,news,9.533185502065747
128,movies,9.505579763717234
129,eight,9.49103085825391
130,calling,9.49103085825391
131,teeth,9.37391444001476
132,ring,9.346092569805249
133,hoped,9.346092569805249
134,doorway,9.287493589258665
135,frowned,9.287493589258665
136,suppose,9.22639846011549
137,tv,9.09865016427438
138,triplets,9.075997139083189
139,pizza,9.075997139083189
140,barrett,8.92903005521325
141,wondered,8.858632161843989
142,fire,8.830650653364707
143,shop,8.830650653364707
144,sugar,8.790243177441402
145,spier,8.780200161071022
146,repeated,8.780200161071022
147,checked,8.702529648055334
148,den,8.645935585215712
149,island,8.600273167399347
150,cold,8.55426577604522
151,uh,8.549414926369755
152,sighed,8.511589796802188
153,sitters,8.511589796802188
154,slid,8.49953215996096
155,bet,8.473942668502886
156,carried,8.45939823105618
157,trip,8.4391946916431
158,hoping,8.4391946916431
159,question,8.436471874003475
160,moments,8.379926870556057
161,however,8.379926870556057
162,yelled,8.288651255096358
163,carrot,8.255304690330776
164,bought,8.251515889488505
165,planned,8.251515889488505
166,vacation,8.1652162824512
167,everywhere,8.147639797471914
168,tree,8.147639797471914
169,wondering,8.14127739071153
170,covered,8.14127739071153
171,clear,8.1049136725718
172,dead,8.034783805726937
173,chocolate,8.034783805726937
174,jewelry,7.99763198423941
175,schafer,7.961318893740082
176,thirteen,7.9258757800442545
177,longer,7.855523429069743
178,staring,7.82061063849247
179,earlier,7.779426119214162
180,meetings,7.751303141613491
181,sleeping,7.726688380355672
182,nervous,7.7169050379964865
183,eating,7.7169050379964865
184,receiver,7.688665383429576
185,wonder,7.682675140937144
186,seat,7.648611813378933
187,warm,7.638243134752997
188,nine,7.6147134420484175
189,bag,7.580978436996775
190,favorite,7.580978436996775
191,mcgill,7.580978436996775
192,lessons,7.539400567681169
193,rooms,7.539400567681169
194,realize,7.5344941520926305
195,dressed,7.51399227988372
196,spoke,7.51399227988372
197,giggled,7.432508693881204
198,newspaper,7.394462883314908
199,practically,7.381912889753041
200,scared,7.365468890292453
201,sharon,7.261459253136778
202,singing,7.253608498481427
203,woke,7.219006284258558
204,picnic,7.1822487439520595
205,bored,7.016275812286807
206,bowl,6.983272392130048
207,hallway,6.983272392130048
208,pants,6.983272392130048
209,museum,6.978571311150555
210,milk,6.9179119842932835
211,weeks,6.916061041253746
212,moving,6.916061041253746
213,song,6.885549411765196
214,dress,6.885212644251235
215,grew,6.854522040250613
216,somebody,6.853394960113743
217,michelle,6.821445969619888
218,fall,6.7936078114665035
219,secretary,6.7936078114665035
220,led,6.673603811226487
221,managed,6.673603811226487
222,leaned,6.614490032568417
223,lay,6.603342857240437
224,leaving,6.585150120803267
225,hit,6.526897236041501
226,snack,6.512705934277654
227,listen,6.497981517425807
228,likes,6.46920448384485
229,beautiful,6.46920448384485
230,surprise,6.46920448384485
231,deal,6.46920448384485
232,king,6.431606640768692
233,paused,6.423682811110121
234,muttered,6.39435721384813
235,mine,6.3554570013771645
236,awful,6.327353905502607
237,continued,6.327353905502607
238,lines,6.305391651254778
239,careful,6.278745126743859
240,spread,6.250255021170671
241,plans,6.250255021170671
242,thursday,6.250255021170671
243,restaurant,6.242890379642455
244,dining,6.212002195266814
245,somewhere,6.193757244901004
246,large,6.193757244901004
247,uncle,6.115525093795212
248,stories,6.110189840032301
249,using,6.082641560977454
250,dog,6.082641560977454
251,strange,6.027996208316501
252,allowed,6.000895870969805
253,interrupted,6.000895870969805
254,backyard,5.9731252564603246
255,date,5.893939921063218
256,tiny,5.893939921063218
257,nobody,5.841307856128281
258,works,5.815198136222522
259,gets,5.815198136222522
260,speaking,5.789224051837001
261,mentioned,5.789224051837001
262,becca,5.775205027406846
263,twenty,5.763384201044789
264,kidding,5.763384201044789
265,interesting,5.763384201044789
266,cookies,5.747713510255798
267,bedroom,5.737677203542696
268,chairs,5.720409649974198
269,murmured,5.720409649974198
270,entire,5.7121017002088434
271,tired,5.686656352671488
272,seeing,5.686656352671488
