,term,score
0,lake,376.99738724562553
1,boat,234.5387269295243
2,cabin,226.66781405067638
3,linny,208.38094784273088
4,hannie,154.6378386541934
5,kristy,137.8593156877123
6,nicky,134.0788299288969
7,karen,110.4164840258444
8,stacey,109.58671863382817
9,sam,101.57761881637646
10,island,92.88295020791296
11,nancy,91.83549246552415
12,watson,90.25120686329973
13,emily,85.86258340219351
14,andrew,82.62099595991256
15,jessi,82.51515889488505
16,mary,74.87368788178084
17,quint,73.25612719440423
18,shannon,71.45188193942103
19,boys,64.75397618789879
20,michael,59.58134013250846
21,david,59.58134013250846
22,mal,58.281892738467256
23,claud,56.40842118711616
24,dance,52.67419905110299
25,water,40.76164686879902
26,charlie,40.52456836285901
27,parade,39.20808764252949
28,mystery,36.86326315999879
29,vacation,35.926951642785276
30,garden,33.04021537083085
31,claudia,32.98241046260848
32,exclaimed,32.27495152585082
33,mallory,29.177658450830474
34,secret,29.047982371543462
35,porch,28.93120878710612
36,boo,26.43109708566642
37,bet,25.421828005508658
38,ghost,24.4956488473536
39,trip,24.111984833266003
40,michelle,21.828627102783642
41,dressed,21.46854937109634
42,camp,21.03046885735975
43,costume,19.54835781500634
44,glanced,18.57520011820598
45,cars,18.362230452606383
46,man,18.248266965431892
47,bsc,18.165732696462975
48,um,17.681819763189655
49,eating,17.63864008684911
50,dining,17.08300603698374
51,sleeping,16.99871443678248
52,sleep,16.13747576292541
53,dancing,15.731126537429045
54,bathroom,15.672790141622901
55,lunch,15.64122127698494
56,hat,15.582475626595095
57,repeated,15.365350281874289
58,screamed,15.078801135362339
59,shrieked,15.077468912250236
60,twenty,14.98479892271645
61,several,14.851464420542994
62,windows,14.798973024423049
63,direction,14.730436977166052
64,nannie,14.717751088941178
65,summer,14.594632783120758
66,mostly,14.273116589012389
67,bags,14.165886933268268
68,tonight,14.082131125341595
69,sun,13.835823968586567
70,sitters,13.831333419803554
71,younger,13.831333419803554
72,drive,13.111905965792456
73,announced,13.053794472083002
74,window,12.881129622657806
75,nobody,12.850877283482218
76,dinner,12.654707811005213
77,breakfast,12.500510042341341
78,band,12.299671336121532
79,green,12.28953100334531
80,york,12.019247135309753
81,picture,11.912966115280646
82,closed,11.912966115280646
83,liked,11.703435970603008
84,cute,11.630396272445044
85,eight,11.600148826754777
86,entire,11.424203400417687
87,clean,11.373312705342975
88,seconds,11.353317300519812
89,disappeared,11.353317300519812
90,win,10.81736373249794
91,frowned,10.614278387724188
92,question,10.545589842504343
93,outfit,10.420329494844246
94,tape,10.40242746299116
95,awhile,10.37409156188062
96,ate,10.37409156188062
97,excellent,10.352248036640871
98,safe,10.302425762258824
99,paused,10.277892497776193
100,grown,10.145071570930142
101,pack,10.10660879796198
102,woke,10.10660879796198
103,daddy,10.106019305266743
104,stace,10.106019305266743
105,makeup,10.058498642947646
106,age,10.05507082091889
107,wondered,9.965961182074487
108,evening,9.921735048852625
109,pink,9.820625187056605
110,moments,9.776581348982067
111,bag,9.746972276138711
112,spot,9.732226497563925
113,ahead,9.703806725767276
114,shouted,9.703806725767276
115,spoke,9.660847216993353
116,store,9.644793933306401
117,smell,9.639769176471274
118,spent,9.618091792165973
119,shrugged,9.618091792165973
120,gorgeous,9.550024357467844
121,besides,9.533185502065747
122,yelled,9.472744291538694
123,shoes,9.430303873701149
124,honest,9.417528288269212
125,logan,9.346092569805249
126,weeks,9.221414721671662
127,bedroom,9.180283525668314
128,suit,9.047280681217403
129,rooms,9.047280681217403
130,somehow,8.977741061793992
131,stared,8.977741061793992
132,charge,8.93784072970568
133,drove,8.911283657211829
134,fire,8.830650653364707
135,papadakis,8.804109176384717
136,climbed,8.75035702963894
137,large,8.671260142861405
138,beautiful,8.6256059784598
139,murmured,8.580614474961298
140,themselves,8.55426577604522
141,ourselves,8.55426577604522
142,air,8.549414926369755
143,tomorrow,8.549414926369755
144,spend,8.549414926369755
145,sighed,8.511589796802188
146,barely,8.511589796802188
147,stepped,8.473942668502886
148,interrupted,8.401254219357726
149,gathered,8.325984676923895
150,building,8.224073952136493
151,slightly,8.185735163543866
152,uncle,8.154033458393616
153,earth,8.147639797471914
154,single,8.032748084959774
155,tired,7.961318893740082
156,edge,7.960708790793141
157,forgot,7.9258757800442545
158,staring,7.82061063849247
159,lived,7.82061063849247
160,candy,7.815247121133185
161,ended,7.751303141613491
162,wonderful,7.682675140937144
163,wonder,7.682675140937144
164,leaving,7.682675140937144
165,muttered,7.673228656617756
166,feelings,7.673228656617756
167,likes,7.547405231152325
168,figure,7.480738060573535
169,awful,7.381912889753041
170,aunt,7.323539708355126
171,strange,7.2335954499798
172,wide,7.2010750451637655
173,chairs,7.150512062467747
174,helping,7.1365582945061945
175,tiny,7.072727905275862
176,shot,7.041065562670798
177,beach,7.028383620640875
178,hoped,7.009569427353936
179,unless,7.009569427353936
180,driving,6.950485389399253
181,brain,6.950485389399253
182,wall,6.916061041253746
183,whether,6.916061041253746
184,song,6.885549411765196
185,jeans,6.885212644251235
186,nope,6.853394960113743
187,yup,6.853394960113743
188,party,6.7936078114665035
189,tree,6.789699831226596
190,cream,6.758153985260272
191,sounding,6.7268059201922945
192,gotten,6.70338054727926
193,listened,6.673603811226487
194,wednesday,6.673603811226487
195,notice,6.643974121382992
196,questions,6.614490032568417
197,leaned,6.614490032568417
198,snapped,6.572947626858526
199,ethan,6.570081566686272
200,animals,6.565646024643026
201,rolled,6.555952982896228
202,often,6.526897236041501
203,quite,6.526897236041501
204,sitter,6.526897236041501
205,box,6.497981517425807
206,brothers,6.497981517425807
207,waited,6.497981517425807
208,forward,6.440564811328903
209,heads,6.423682811110121
210,promise,6.423682811110121
211,sign,6.412061194777316
212,putting,6.412061194777316
213,asleep,6.365202612294164
214,ones,6.327353905502607
215,continued,6.327353905502607
216,taken,6.327353905502607
217,appeared,6.278745126743859
218,ballet,6.250255021170671
219,giggled,6.193757244901004
220,truth,6.137890741910378
221,board,6.120743484202128
222,ramsey,6.082641560977454
223,welcome,6.082641560977454
224,brewer,6.082641560977454
225,fit,6.055244232154324
226,missing,6.000895870969805
227,rock,5.9731252564603246
228,fifteen,5.920465182211684
229,mess,5.841307856128281
230,doors,5.802886798785141
231,speaking,5.789224051837001
232,ride,5.789224051837001
233,moving,5.763384201044789
234,dress,5.737677203542696
235,hot,5.686656352671488
236,pair,5.6613398428887525
237,reminded,5.636150872738968
238,longer,5.611088163621245
239,sisters,5.611088163621245
240,luckily,5.586617913704038
241,however,5.586617913704038
242,named,5.586150456066051
243,pike,5.586150456066051
244,led,5.561336509355406
245,became,5.536645101152493
246,afraid,5.536645101152493
247,nervous,5.512075027140347
248,raised,5.487625100669389
249,its,5.487625100669389
250,nearby,5.482715968090995
251,month,5.4571567756959105
252,checked,5.4390810300345835
253,others,5.41498459785484
254,jumping,5.381444736153836
255,slipped,5.3565225371512915
256,practice,5.307139193862094
257,excitement,5.23418884366297
258,yesterday,5.162545137396849
259,friendly,5.162545137396849
260,yellow,5.138946248888097
261,sports,5.115485771078504
262,music,5.115485771078504
263,crowd,5.068973619098028
264,puppy,5.000834424497764
265,spread,5.000204016936537
266,excuse,5.000204016936537
267,confused,4.977541066793827
268,invited,4.977541066793827
269,foot,4.932596773726123
270,bottom,4.888151872025841
271,cold,4.888151872025841
272,using,4.8661132487819625
273,ew,4.849541863617088
274,information,4.844195385723459
275,proud,4.844195385723459
276,fight,4.800716696775844
277,allowed,4.800716696775844
278,awesome,4.752759276962424
279,including,4.736372145769347
280,poor,4.7151519368505745
281,silence,4.7151519368505745
282,step,4.7151519368505745
283,planned,4.7151519368505745
284,mention,4.694043708447198
285,bottle,4.682167784731842
286,mansion,4.673046284902624
287,absolutely,4.652158508978017
288,possible,4.610707360835831
289,blood,4.590557613151596
290,interested,4.569681360167075
291,shut,4.569681360167075
292,hanging,4.54932508213719
293,counter,4.545780662501569
294,present,4.523640340608702
295,lessons,4.523640340608702
296,young,4.508920698191174
297,drew,4.508920698191174
298,married,4.488870530896996
299,lawn,4.479843942345243
300,usual,4.46892036485284
301,ben,4.46176051449172
302,carefully,4.4490692074843246
303,neither,4.4490692074843246
304,grinned,4.409660021712278
305,stayed,4.409660021712278
306,hiding,4.373071107037136
307,handed,4.370635321930819
308,less,4.370635321930819
309,cry,4.370635321930819
310,singing,4.352165099088856
311,scary,4.352165099088856
312,nine,4.351264824027667
313,group,4.351264824027667
314,asking,4.351264824027667
315,junk,4.351264824027667
316,guy,4.3319876782838715
317,listen,4.3319876782838715
318,becca,4.331403770555134
319,turning,4.3128029892299
320,piece,4.3128029892299
321,imagine,4.274707463184877
322,pleased,4.269968176524513
323,supplies,4.269968176524513
324,thomas,4.255794898401094
325,changed,4.255794898401094
326,area,4.24976607998048
327,mine,4.236971334251443
328,clock,4.2182359370017375
329,stuffed,4.209765487372085
330,baseball,4.189963435278028
331,neck,4.15074719057597
332,daughter,4.15074719057597
333,seventh,4.131329647059117
334,decision,4.131329647059117
335,van,4.127652345165388
336,enjoy,4.1120369760682465
337,add,4.1120369760682465
338,movies,4.073819898735957
339,giggling,4.054892391156162
340,snow,4.052171689199694
341,broken,4.036083552115377
342,rather,4.036083552115377
343,dead,4.017391902863468
344,teeth,4.017391902863468
345,skin,3.9803543953965703
346,sea,3.932375406037556
347,return,3.9256416327472277
348,sunday,3.889713059607081
349,space,3.871908853047637
350,entered,3.871908853047637
351,tall,3.871908853047637
352,fault,3.871908853047637
353,crossed,3.836614328308878
354,grinning,3.836614328308878
355,oldest,3.8191215673764987
356,stick,3.8017302143235208
357,carrying,3.7844391001732705
358,careful,3.7672470760463153
359,act,3.7331558000953704
360,involved,3.716254346940602
361,legs,3.6994475802945925
362,scared,3.6827344451462265
363,clue,3.671135041203428
364,forever,3.6661139040193804
365,stories,3.6661139040193804
366,mommy,3.650830298275392
367,closer,3.649584936586472
368,places,3.649584936586472
369,pointing,3.649584936586472
370,dog,3.649584936586472
371,immediately,3.6167977249899
372,hoping,3.6167977249899
373,luck,3.6167977249899
374,faces,3.6167977249899
375,offered,3.6005375225818828
376,whenever,3.55227910932701
377,fair,3.55227910932701
378,handle,3.536363952637931
379,listening,3.536363952637931
380,bought,3.536363952637931
381,nearly,3.520532781335399
382,expected,3.504784713676968
383,wondering,3.489118881733513
384,clear,3.4735344311022005
385,woman,3.4735344311022005
386,wrote,3.458030520626873
387,interesting,3.458030520626873
388,kidding,3.458030520626873
389,begin,3.4426063221256173
390,eighth,3.4426063221256173
391,buy,3.4426063221256173
392,body,3.4426063221256173
393,forgotten,3.4119938116028923
394,schafer,3.4119938116028923
395,extra,3.3968039057332517
396,thirteen,3.3968039057332517
397,eleven,3.3816905236433805
398,empty,3.3816905236433805
399,conversation,3.366652898172747
400,catch,3.35169027363963
401,connecticut,3.35169027363963
402,managed,3.3368019056132434
403,mad,3.3368019056132434
404,burst,3.321987060691496
405,sense,3.321987060691496
406,sick,3.3072450162842086
407,plenty,3.3072450162842086
408,starting,3.3072450162842086
409,jobs,3.2925750604016333
410,waved,3.277976491448114
411,tears,3.2634486180207505
412,children,3.2489907587129037
413,eye,3.2489907587129037
414,become,3.234602241922425
415,boyfriend,3.2202824056644515
416,admit,3.206030597388658
417,uh,3.206030597388658
418,grabbed,3.1918461738008204
419,pay,3.1918461738008204
420,explained,3.1777285006885823
421,town,3.1777285006885823
422,lines,3.152695825627389
423,purple,3.152695825627389
424,sms,3.152695825627389
425,restaurant,3.1214451898212277
426,squirt,3.1214451898212277
427,weather,3.106001097633407
428,babies,3.0906753521422687
429,flowers,3.060371742101064
430,sweater,3.0305204416677127
431,stamford,3.0157602270724677
432,greeted,2.9865626282301623
433,road,2.9865626282301623
434,station,2.9865626282301623
435,thanksgiving,2.9865477947871395
436,orange,2.9577851533259634
437,row,2.9294158833420503
438,earrings,2.9294158833420503
439,letter,2.9294158833420503
440,teachers,2.915380738024757
441,fancy,2.873856755127899
442,waving,2.8331773866536536
443,round,2.8331773866536536
444,juice,2.806510324914723
445,dying,2.793308956852019
446,pants,2.793308956852019
447,slow,2.7671647937173134
448,whose,2.7413579840454974
449,roll,2.7413579840454974
450,letters,2.7285783878479553
451,wished,2.715879932490638
452,prepared,2.715879932490638
453,carol,2.7069629325679783
454,simple,2.6782612685756457
455,forth,2.6782612685756457
456,pocket,2.6782612685756457
457,crowded,2.6782612685756457
458,stepsister,2.6658773280798034
459,doorway,2.653569596931047
460,flew,2.653569596931047
461,project,2.641337142896175
462,lay,2.641337142896175
463,mirror,2.641337142896175
464,pile,2.641337142896175
465,dumb,2.6291790507434105
466,ice,2.6291790507434105
467,lap,2.6050823737110615
468,cover,2.6050823737110615
469,certain,2.6050823737110615
470,whoa,2.6050823737110615
471,planning,2.6050823737110615
472,certainly,2.593142039738054
473,triplets,2.593142039738054
474,hasn,2.5812725686984246
475,recently,2.5812725686984246
476,child,2.5812725686984246
477,count,2.557742885539252
478,thoughts,2.557742885539252
479,apart,2.557742885539252
480,decide,2.5460810449176656
481,warm,2.5460810449176656
482,aside,2.534486809549014
483,insisted,2.522959400115514
484,embarrassed,2.522959400115514
485,ground,2.5114980506975435
486,wears,2.5001020084682684
487,thursday,2.5001020084682684
488,shoulders,2.4887705333969135
489,huh,2.4775028979604015
490,ways,2.4775028979604015
491,somewhere,2.4775028979604015
492,subject,2.4775028979604015
493,amazing,2.4662983868630617
494,silent,2.4662983868630617
495,associate,2.4662983868630617
496,expect,2.455156296764151
497,sixth,2.455156296764151
498,color,2.455156296764151
499,teacher,2.455156296764151
500,lying,2.4440759360129203
501,promised,2.4440759360129203
502,note,2.4330566243909812
503,throat,2.4111984833266003
504,yourself,2.389576651118169
505,calm,2.3575759684252873
506,weekend,2.3575759684252873
507,keeps,2.3575759684252873
508,angry,2.336523142451312
509,ring,2.336523142451312
510,gets,2.3260792544890085
511,quick,2.3260792544890085
512,covered,2.3260792544890085
513,quietly,2.3156896207348003
514,mentioned,2.3156896207348003
