,term,score
0,cokie,262.2389323352015
1,kristy,168.85094479580266
2,mary,147.6382577950608
3,stage,145.62306246371966
4,rehearsal,136.5254485866168
5,jackie,134.11352422887109
6,costume,128.15034567615268
7,stacey,119.16225715523063
8,jessi,106.09091857913793
9,pete,76.21881745826617
10,mal,76.12328847473275
11,sam,73.08633548983184
12,lines,72.51200398942996
13,karen,68.41021292905577
14,logan,59.58134013250846
15,audience,57.220544643836
16,boys,55.973776026827764
17,grace,55.08921609635414
18,ms,54.71902533653032
19,mallory,51.62201110531545
20,sms,48.86678529722453
21,matt,47.46800196940196
22,michael,44.39393970657493
23,act,41.06471380104907
24,claudia,40.43005153481039
25,alan,37.85484394324755
26,haley,37.579791112857414
27,tonight,32.85830595913039
28,scene,31.612424306406886
29,bsc,31.487270007202486
30,claud,31.204658529042984
31,carolyn,29.19992048189643
32,dance,28.26420436888453
33,list,26.042163277288264
34,david,25.701754566964436
35,rodowsky,25.410149448030126
36,children,24.908929150132263
37,ben,24.53968282970446
38,bell,23.536277530623813
39,mimi,23.455522567412423
40,john,22.599249037924864
41,opening,22.451365714617488
42,emily,22.39893480057222
43,nicky,22.346471654816153
44,stace,21.896375161411278
45,brothers,21.65993839141936
46,however,20.949817176390145
47,dress,20.655637932753706
48,row,20.505911183394353
49,thomas,20.215025767405194
50,yelled,20.129581619519726
51,myriah,19.121588816108446
52,dancing,18.591331362416145
53,song,17.90242847058951
54,makeup,17.24314053076739
55,teacher,17.186094077349058
56,stepped,16.947885337005772
57,bus,16.799922969045706
58,margo,16.681164934558204
59,nervous,16.53622508142104
60,charlie,16.2098273451436
61,exclaimed,16.13747576292541
62,learn,15.672790141622901
63,lunch,15.64122127698494
64,pike,15.64122127698494
65,triplets,15.558852238428324
66,wonderful,15.365350281874289
67,um,15.324243794764367
68,bunch,15.051982534776203
69,excuse,15.000612050809611
70,excited,14.89528214440383
71,sitters,14.89528214440383
72,teachers,14.576903690123785
73,group,14.141610678089918
74,thoughts,14.067585870465885
75,hannie,14.057985332199399
76,bill,13.900970778798506
77,bart,13.66440163728452
78,tape,13.374549595274349
79,meetings,13.287948242765983
80,sitter,13.053794472083002
81,energy,12.994211311665405
82,stomach,12.850877283482218
83,awhile,12.679445242298536
84,crowd,12.67243404774507
85,continued,12.654707811005213
86,names,12.34439395996674
87,sixth,12.275781483820756
88,brewer,12.165283121954907
89,listen,11.912966115280646
90,mostly,11.894263824176992
91,melody,11.819196385890237
92,younger,11.703435970603008
93,singing,11.605773597570282
94,monday,11.600148826754777
95,paused,11.562629059998217
96,loudly,11.526768402089578
97,sang,11.440819299948396
98,several,11.424203400417687
99,jobs,10.975250201338778
100,repeated,10.975250201338778
101,yup,10.96543193618199
102,spot,10.948754809759416
103,glanced,10.926588304827048
