,term,score
0,sea,123.86982529018302
1,mary,114.94692928329735
2,jessi,103.73334261071264
3,stacey,97.88328266322516
4,barrett,92.8619125742178
5,beach,84.34060344769051
6,nicky,81.00595974870855
7,suzi,80.89785430297599
8,alex,77.20826222742704
9,pike,73.73718602007186
10,margo,70.89495097187238
11,buddy,69.29371574187809
12,claire,68.29566234867896
13,pikes,62.680685867532276
14,mal,61.85017188572036
15,kristy,59.84590448458828
16,claudia,55.32533367921422
17,myriah,46.43814426769194
18,summer,45.1106831478278
19,jenny,44.19761830395351
20,marnie,38.44808257051444
21,barn,37.579791112857414
22,bart,36.43840436609205
23,vanessa,36.14252402487611
24,camp,35.75179705751158
25,shouted,35.58062466114668
26,water,35.10030702591027
27,ben,33.463203858687905
28,logan,32.71132399431837
29,jamie,32.46448337684241
30,mommy,31.032057535340833
31,rain,29.04583701254711
32,adam,27.69611701123519
33,ice,27.60638003280581
34,mallory,26.933223185381976
35,road,26.87906365407146
36,van,26.829740243575024
37,ball,26.658773280798034
38,game,24.798617188071926
39,window,24.688831776760793
40,krushers,24.003801505008735
41,bill,23.63165032395746
42,uh,23.510891047516825
43,charlotte,23.06599615028873
44,cream,22.97772354988492
45,field,22.63119536354641
46,screamed,22.618201703043507
47,jordan,21.865355535185678
48,sleeping,21.63472746499588
49,lindsey,21.372674185000683
50,vacation,21.22956233437312
51,sleep,20.74818312376124
52,jake,20.25922132259287
53,bat,19.66187703018778
54,street,19.066371004131494
55,guy,18.410947632706453
56,porch,18.272342391856498
57,bsc,18.165732696462975
58,team,18.0839886249495
59,ghost,17.963475821392638
60,houses,17.83273279369913
61,yelled,17.76139554663505
62,windows,17.489695392499968
63,hit,17.405059296110668
64,andrew,17.26408870804143
65,practice,17.248202380051804
66,man,17.174839496877073
67,watson,17.13630510062653
68,cars,16.832044581555852
69,radio,16.61241618692013
70,marilyn,15.61616180072102
71,cute,15.119515154178556
72,charges,15.00554073444161
73,byron,14.647079416710252
74,shannon,14.532586157170378
75,claud,14.402150090327531
76,bags,14.165886933268268
77,sign,13.892799255350852
78,shrugged,13.892799255350852
79,town,13.77015683631719
80,scared,13.503359632202832
81,station,13.43953182703573
82,named,13.40676109455852
83,its,13.170300241606533
84,twenty,12.679445242298536
85,eight,12.654707811005213
86,downstairs,12.566623740459455
87,taylor,12.082894512048197
88,trip,12.055992416633002
89,rolled,12.019247135309753
90,seat,12.019247135309753
91,richard,11.938309202573834
92,light,11.807702154102987
93,um,11.787879842126436
94,sitters,11.703435970603008
95,sighed,11.703435970603008
96,david,11.682615712256561
97,played,11.682615712256561
98,woke,11.550410054813693
99,stick,11.405190642970563
100,johnson,11.348064243264703
101,boo,11.32761303671418
102,carolyn,11.230738646883243
103,huh,11.148763040821807
104,gabbie,11.1317953581836
105,became,11.073290202304985
106,closer,10.948754809759416
107,kuhn,10.926622180633398
108,weather,10.871003841716925
109,brothers,10.82996919570968
110,eye,10.82996919570968
111,karen,10.801612567745648
112,thomas,10.639487246002734
113,michael,10.514354141030905
114,contest,10.449008294929776
115,tape,10.40242746299116
116,sunday,10.372568158952216
117,hot,10.235981434808677
118,lights,10.058498642947646
119,breakfast,10.000408033873073
120,stayed,9.921735048852625
121,leaving,9.8777251812049
122,boys,9.8777251812049
123,stupid,9.820625187056605
124,announced,9.79034585406225
125,others,9.746972276138711
126,ew,9.699083727234177
127,sun,9.685076778010597
128,figure,9.618091792165973
129,building,9.594752944159241
130,excited,9.57553852140246
131,changed,9.57553852140246
132,pool,9.54837746377718
