,term,score
0,laine,185.68069088518746
1,mary,182.43870427532514
2,mama,150.24046133537936
3,kristy,115.4171015059917
4,becca,88.0718766679544
5,daddy,84.21682754388952
6,jeff,75.56383838779225
7,claudia,71.28456454821833
8,cecelia,70.48355132028115
9,jackie,66.05591491869771
10,lindsey,64.11802255500206
11,aunt,57.12360972516998
12,stacey,53.19743623001367
13,ms,51.76124018320436
14,david,51.40350913392887
15,michael,51.40350913392887
16,mimi,48.86567201544255
17,shannon,47.23090501080373
18,letter,45.40594619180178
19,pop,42.75036006546975
20,sunny,40.006675395982114
21,squirt,32.77517449312289
22,mal,32.11451232527788
23,jessi,29.46969960531609
24,summer,29.189265566241517
25,homework,28.106873264148582
26,bus,27.999871615076174
27,sitters,27.66266683960711
28,louie,26.952673942921802
29,liked,26.598718115006836
30,party,26.042163277288264
31,claud,25.20376265807318
32,john,24.337652810072928
33,janine,24.111984833266003
34,dr,23.954067171439327
35,street,23.303342338382937
36,tiffany,22.696128486529407
37,breakfast,22.500918076214415
38,hallway,22.346471654816153
39,hospital,21.52826307360281
40,connecticut,20.11014164183778
41,lived,20.11014164183778
42,sleeping,20.08938978892475
43,sitter,19.5806917081245
44,lunch,18.99291155062457
45,test,18.82205682423203
46,charlie,18.525516965878403
47,picture,18.410947632706453
48,juice,18.2423171119457
49,pizza,18.151994278166377
50,art,18.035682792764696
51,monday,17.927502732257384
52,honey,17.73575952101171
53,sam,17.34252028572281
54,weeks,17.290152603134366
55,downstairs,17.13630510062653
56,although,16.833264490863733
57,alan,16.8243750858878
58,vanessa,16.681164934558204
59,vacation,16.3304325649024
60,brothers,16.24495379356452
61,bag,16.24495379356452
62,grown,15.781222443669108
63,writing,15.711046858139486
64,mallory,15.711046858139486
65,bathroom,15.672790141622901
66,upstairs,15.297223626757866
67,group,15.229426884096835
68,moving,14.98479892271645
69,page,14.932813141150811
70,invited,14.932623200381482
71,class,14.89528214440383
72,question,14.763825779506082
73,drawing,14.576903690123785
74,pike,14.523991185771731
75,fight,14.402150090327531
76,born,14.394019320073168
77,weekend,14.145455810551724
78,nine,14.141610678089918
79,maria,14.048085433140308
80,wrote,13.832122082507492
81,named,13.40676109455852
82,allowed,13.20197091613357
83,spier,13.170300241606533
84,pictures,13.145895253717052
85,earlier,12.965710198690271
