,term,score
0,carol,238.21273806598208
1,wedding,111.35032409739945
2,barrett,96.4335245963031
3,suzi,89.64356828167608
4,ben,89.23521028983441
5,kristy,88.70017986108621
6,claudia,88.3077441418227
7,buddy,82.49251874033105
8,christmas,81.67221954339578
9,sunny,80.01335079196423
10,maggie,73.0500442523296
11,taylor,68.46973556827312
12,lindsey,64.11802255500206
13,mommy,63.889530219819356
14,jeff,61.937572449010034
15,jill,59.13073410017645
16,dewitt,59.00195881918929
17,mary,50.61883124402085
18,marnie,47.49469023416489
19,whitney,43.4109345759245
20,stephie,38.00979379742459
21,beach,35.141918103204375
22,schafer,32.98260684549463
23,dress,32.130992339839096
24,richard,27.856054806005613
25,uh,27.785598510701703
26,daddy,26.94938481404465
27,stacey,26.598718115006836
28,party,26.042163277288264
29,mallory,25.811005552657726
30,ms,23.662281226607707
31,huh,23.536277530623813
32,cake,23.342308417844194
33,james,22.61651915912614
34,tree,21.727039459925106
35,california,21.65993839141936
36,cry,20.76051777917139
37,wall,20.74818312376124
38,bag,20.57694147184839
39,becca,18.76941633907225
40,downstairs,18.2787254406683
41,shannon,18.165732696462975
42,sharon,18.153648132841944
43,jake,17.365046847936746
44,andrea,16.880062807744313
45,screamed,16.58668124889857
46,cecelia,16.110526016064263
47,window,16.101412028322255
48,basement,15.98529690117822
49,sang,15.731126537429045
50,crying,15.324243794764367
51,moving,14.98479892271645
52,nina,14.932738973935697
53,chocolate,14.730436977166052
54,list,14.719483591510757
55,mall,14.622700083079904
56,bsc,14.532586157170378
57,man,13.954557091212623
58,flowers,13.771672839454789
59,buy,13.77042528850247
60,eight,13.709266795255648
61,mama,13.414326904944588
62,connecticut,13.40676109455852
63,mad,13.347207622452974
64,letter,13.182371475039226
65,yelled,13.025023400865704
66,cookies,12.932355398075545
67,music,12.78871442769626
68,sitters,12.767384695203281
69,woman,12.736292914041401
70,bedroom,12.622889847793932
71,shoulders,12.443852666984567
72,burst,12.180619222535485
73,store,12.055992416633002
74,upstairs,12.019247135309753
75,piece,11.860208220382226
76,um,11.787879842126436
77,shrugged,11.755445523758413
78,exclaimed,11.526768402089578
79,jamie,11.458052956532615
80,boxes,11.457364702129496
81,crowd,11.405190642970563
82,couch,11.016879058824314
83,myriah,10.926622180633398
84,announced,10.878162060069167
85,box,10.82996919570968
86,shouted,10.782007473074751
87,mine,10.592428335628608
88,besides,10.592428335628608
89,dumb,10.516716202973642
90,sunday,10.372568158952216
91,shop,10.302425762258824
92,aunt,10.252955591697177
93,hot,10.235981434808677
94,singing,10.155051897873998
95,camera,10.130429222999236
96,leaving,9.8777251812049
97,seat,9.833929474344343
98,truth,9.820625187056605
99,kishi,9.746972276138711
100,brothers,9.746972276138711
101,fight,9.601433393551687
102,excited,9.57553852140246
103,hugged,9.505579763717234
104,giggling,9.46141557936438
105,bought,9.430303873701149
106,sleeping,9.272026056426807
107,opening,9.244680000136611
108,charlotte,9.22639846011549
109,movie,9.180283525668314
110,married,8.977741061793992
111,stared,8.977741061793992
112,charge,8.93784072970568
113,folded,8.870703833421548
114,meetings,8.858632161843989
115,member,8.819320043424556
116,stayed,8.819320043424556
117,breakfast,8.75035702963894
118,bell,8.671260142861405
119,stupid,8.593047038674529
120,welcome,8.515698185368434
121,stepped,8.473942668502886
122,ha,8.465735902799727
123,strange,8.4391946916431
124,practically,8.436471874003475
125,hallway,8.379926870556057
126,shouldn,8.288651255096358
127,fifteen,8.288651255096358
128,coffee,8.262659294118235
129,gorgeous,8.185735163543866
130,stomach,8.177830998579593
131,logan,8.177830998579593
132,awhile,8.068737881462704
133,sleep,8.068737881462704
134,spotted,8.034783805726937
135,sad,8.032748084959774
136,nose,8.032748084959774
137,tv,7.961318893740082
138,grown,7.890611221834554
139,empty,7.890611221834554
140,age,7.82061063849247
141,tears,7.6147134420484175
142,threw,7.6147134420484175
143,hit,7.6147134420484175
144,dear,7.576301104169282
145,insisted,7.568878200346541
146,beautiful,7.547405231152325
147,toys,7.5003060254048055
148,grabbed,7.447641072201915
149,sighed,7.447641072201915
150,explained,7.414699834940025
151,fire,7.358875544470589
152,shaking,7.299169873172944
153,paint,7.253608498481427
154,college,7.253608498481427
155,faces,7.2335954499798
156,trip,7.2335954499798
157,claud,7.2010750451637655
158,rehearsal,7.18554992561141
159,mal,7.1365582945061945
160,hat,7.082943466634134
161,poor,7.072727905275862
162,video,7.06629859645905
163,angry,7.009569427353936
164,loud,7.009569427353936
165,blonde,7.009569427353936
166,driving,6.950485389399253
167,milk,6.9179119842932835
168,sun,6.9179119842932835
169,wrote,6.916061041253746
170,song,6.885549411765196
171,seeing,6.823987623205785
172,letters,6.821445969619888
173,totally,6.7936078114665035
174,silly,6.733305796345494
175,gotten,6.70338054727926
176,managed,6.673603811226487
177,style,6.664693320199508
178,flew,6.633923992327617
179,eating,6.614490032568417
180,joined,6.614490032568417
181,lifted,6.603342857240437
182,pictures,6.572947626858526
183,waved,6.555952982896228
184,drive,6.555952982896228
185,hate,6.526897236041501
186,group,6.526897236041501
187,picture,6.497981517425807
188,favorite,6.497981517425807
189,deal,6.46920448384485
190,throw,6.453181421746061
191,air,6.412061194777316
192,grinning,6.39435721384813
193,grin,6.39435721384813
194,coat,6.337012369283231
195,dinner,6.327353905502607
196,ground,6.278745126743859
197,plans,6.250255021170671
198,squirt,6.242890379642455
199,restaurant,6.242890379642455
200,confused,6.221926333492283
201,invited,6.221926333492283
202,dining,6.212002195266814
203,silent,6.165745967157655
204,color,6.137890741910378
205,teacher,6.137890741910378
206,scared,6.137890741910378
207,kiss,6.120743484202128
208,pulling,6.082641560977454
209,present,6.031520454144935
210,steps,6.027996208316501
211,bathroom,6.027996208316501
212,interrupted,6.000895870969805
213,shy,5.973941627795423
214,gently,5.947131912088496
215,neighborhood,5.893939921063218
216,jessi,5.893939921063218
217,shot,5.867554635558998
218,lit,5.8588317666841006
219,pull,5.841307856128281
220,adam,5.830761476049514
221,covered,5.815198136222522
222,laughter,5.802886798785141
223,ate,5.763384201044789
224,doorbell,5.747713510255798
225,lights,5.747713510255798
226,heading,5.720409649974198
227,chairs,5.720409649974198
228,murmured,5.720409649974198
229,completely,5.7121017002088434
230,tired,5.686656352671488
231,area,5.666354773307307
232,round,5.666354773307307
233,fall,5.6613398428887525
234,worse,5.6613398428887525
235,art,5.636150872738968
236,eleven,5.636150872738968
237,juice,5.613020649829446
238,sisters,5.611088163621245
239,wow,5.611088163621245
240,somehow,5.611088163621245
241,pike,5.586150456066051
242,hardly,5.536645101152493
243,regular,5.487625100669389
244,somebody,5.482715968090995
245,rolled,5.463294152413524
246,nine,5.4390810300345835
247,sitter,5.4390810300345835
248,super,5.431759864981276
249,broke,5.41498459785484
250,children,5.41498459785484
251,waited,5.41498459785484
252,guy,5.41498459785484
253,horrible,5.406523188208217
254,turning,5.3910037365373755
255,windows,5.381444736153836
256,light,5.367137342774085
257,forth,5.3565225371512915
258,shopping,5.3565225371512915
259,dead,5.3565225371512915
260,sign,5.343384328981097
261,officers,5.307139193862094
262,million,5.307139193862094
263,town,5.296214167814304
264,clock,5.272794921252172
265,tea,5.271287715480657
266,excitement,5.23418884366297
267,cover,5.210164747422123
268,center,5.210164747422123
269,boring,5.210164747422123
270,plate,5.162545137396849
271,tall,5.162545137396849
272,dance,5.138946248888097
273,muttered,5.115485771078504
274,locker,5.1061083839315735
275,drove,5.092162089835331
276,asleep,5.092162089835331
277,families,5.045918800231028
278,appeared,5.022996101395087
279,sugar,5.022996101395087
280,american,4.955005795920803
281,fortunately,4.89912976947072
282,sigh,4.888151872025841
283,bottom,4.888151872025841
284,ramsey,4.8661132487819625
285,tigger,4.849541863617088
286,hug,4.8223969666532005
287,throat,4.8223969666532005
288,stage,4.8007603010017466
289,envelope,4.8007603010017466
290,normal,4.800716696775844
291,company,4.779153302236338
292,fingers,4.736372145769347
293,shoes,4.7151519368505745
294,date,4.7151519368505745
295,dogs,4.705514206058007
296,nearly,4.694043708447198
297,played,4.673046284902624
298,ring,4.673046284902624
299,museum,4.65238087410037
300,gets,4.652158508978017
301,clear,4.631379241469601
302,visit,4.631379241469601
303,suppose,4.613199230057745
304,receiver,4.613199230057745
305,loudly,4.610707360835831
306,weeks,4.610707360835831
307,kidding,4.610707360835831
308,twenty,4.610707360835831
309,cars,4.590557613151596
310,body,4.590141762834157
311,single,4.590141762834157
312,lucky,4.54932508213719
313,ear,4.54932508213719
314,water,4.529071874311002
315,forgot,4.529071874311002
316,rooms,4.523640340608702
317,longer,4.488870530896996
318,backyard,4.479843942345243
319,rock,4.479843942345243
320,staring,4.46892036485284
321,green,4.46892036485284
322,lived,4.46892036485284
323,none,4.46892036485284
324,named,4.46892036485284
325,carefully,4.4490692074843246
326,became,4.4293160809219945
327,ended,4.4293160809219945
328,notice,4.4293160809219945
329,sense,4.4293160809219945
330,seats,4.415325326682353
331,plenty,4.409660021712278
332,starting,4.409660021712278
333,stairs,4.390100080535511
334,raised,4.390100080535511
335,repeated,4.390100080535511
336,boys,4.390100080535511
337,less,4.370635321930819
338,costume,4.344079514445854
339,others,4.3319876782838715
340,woke,4.331403770555134
341,pack,4.331403770555134
342,likes,4.3128029892299
343,boyfriend,4.293709874219268
344,dressed,4.293709874219268
345,mumbled,4.269968176524513
346,changed,4.255794898401094
347,pay,4.255794898401094
348,thomas,4.255794898401094
349,barely,4.255794898401094
350,waving,4.24976607998048
351,jacket,4.24976607998048
352,helped,4.236971334251443
