,term,score
0,robert,128.87220049352462
1,abby,125.35224662702527
2,stacey,109.58671863382817
3,claudia,100.0111801124257
4,jenny,97.69999835610777
5,mary,82.25560077153388
6,jessi,80.15758292645977
7,beach,68.52674030124854
8,andrea,60.76822610787953
9,pete,60.051189512573345
10,ms,51.76124018320436
11,logan,43.22567813534928
12,group,36.98575100423517
13,park,35.556090791758855
14,young,33.816905236433804
15,trip,33.7567787665724
16,bus,31.733187830419666
17,mallory,29.177658450830474
18,bsc,29.065172314340757
19,water,28.306699214443764
20,mal,27.35680679560708
21,war,25.841536290764644
22,anna,25.397638872817392
23,alan,25.236562628831702
24,breakfast,25.001020084682683
25,van,22.702087898409633
26,uh,22.442214181720605
27,woman,20.841206586613204
28,sms,20.492522866578028
29,road,19.412657083496054
30,camp,18.927421971623776
31,huh,18.581271734703012
32,seat,18.57520011820598
33,camera,18.234772601398625
34,cream,17.571200361676706
35,york,17.482541287723276
36,ice,17.08966382983217
37,tv,17.059969058014463
38,margo,16.681164934558204
39,sun,16.60298876230388
40,shouted,16.173011209612127
41,air,16.03015298694329
42,clock,15.818384763756516
43,sea,15.729501624150224
44,bottle,15.607225949106137
45,area,15.582475626595095
46,island,15.480491701318826
47,announced,15.229426884096835
48,kristy,14.96147612114707
49,sitters,14.89528214440383
50,explained,14.82939966988005
51,lunch,14.523991185771731
52,linny,14.37109985122282
53,yelled,14.20911643730804
54,bags,14.165886933268268
55,tomorrow,13.892799255350852
56,mimi,13.682388164323914
57,ball,13.329386640399017
58,edge,13.267847984655234
59,fortunately,13.06434605192192
60,vacation,13.06434605192192
61,hit,13.053794472083002
62,pack,12.994211311665405
63,um,12.96666782633908
64,man,12.881129622657806
65,drove,12.730405224588328
66,news,12.710914002754329
67,awhile,12.679445242298536
68,flowers,12.241486968404256
69,raised,12.072775221472655
70,team,12.055992416633002
71,direction,12.052175708590406
72,karen,12.00179174193961
73,claud,12.00179174193961
74,movie,11.475354407085392
75,field,11.315597681773205
76,teacher,11.04820333543868
77,garden,11.013405123610283
78,mommy,10.952490894826177
79,rain,10.892188879705166
80,hate,10.878162060069167
81,tree,10.863519729962553
82,above,10.863519729962553
83,bag,10.82996919570968
84,notebook,10.73427468554817
85,spotted,10.713045074302583
86,sign,10.686768657962194
87,including,10.65683732798103
88,summer,10.614278387724188
89,mine,10.592428335628608
90,screamed,10.555160794753636
91,dinner,10.545589842504343
92,stomach,10.514354141030905
93,seats,10.302425762258824
94,pow,10.28154959024891
95,hot,10.235981434808677
96,boat,10.197335953457578
97,gray,10.091837600462055
98,led,10.010405716839731
99,american,9.910011591841606
100,cry,9.833929474344343
101,sitter,9.79034585406225
102,guy,9.746972276138711
103,picture,9.746972276138711
104,spot,9.732226497563925
105,window,9.660847216993353
106,building,9.594752944159241
107,horrible,9.46141557936438
108,claire,9.37391444001476
109,hannie,9.371990221466266
110,museum,9.30476174820074
111,ride,9.262758482939201
112,wall,9.221414721671662
113,twenty,9.221414721671662
114,body,9.180283525668314
115,entire,9.13936272033415
116,rooms,9.047280681217403
117,child,9.034453990444486
118,tape,8.916366396849565
119,ground,8.790243177441402
120,glanced,8.741270643861638
121,threw,8.702529648055334
122,ahead,8.6256059784598
123,stupid,8.593047038674529
124,heading,8.580614474961298
125,thomas,8.511589796802188
126,besides,8.473942668502886
127,juice,8.41953097474417
128,fifteen,8.288651255096358
129,poor,8.251515889488505
130,nearby,8.224073952136493
131,gorgeous,8.185735163543866
132,exclaimed,8.068737881462704
133,follow,7.99763198423941
134,clean,7.961318893740082
135,worse,7.9258757800442545
136,eleven,7.890611221834554
137,writing,7.855523429069743
138,named,7.82061063849247
139,burst,7.751303141613491
140,sleeping,7.726688380355672
141,muttered,7.673228656617756
142,checked,7.6147134420484175
143,listen,7.580978436996775
144,california,7.580978436996775
145,eye,7.580978436996775
146,favorite,7.580978436996775
147,closed,7.580978436996775
148,beautiful,7.547405231152325
149,break,7.547405231152325
150,suit,7.539400567681169
151,sugar,7.5344941520926305
152,light,7.51399227988372
153,toys,7.5003060254048055
154,spent,7.480738060573535
155,shrugged,7.480738060573535
156,rock,7.466406570575406
157,pay,7.447641072201915
158,houses,7.430305330707972
159,glass,7.398895160589185
160,truth,7.365468890292453
161,cold,7.332227808038761
162,closer,7.299169873172944
163,luck,7.2335954499798
164,bathroom,7.2335954499798
165,softly,7.2010750451637655
166,murmured,7.150512062467747
167,gathered,7.1365582945061945
168,shoes,7.072727905275862
169,step,7.072727905275862
170,brain,6.950485389399253
171,interesting,6.916061041253746
172,ate,6.916061041253746
173,watson,6.854522040250613
174,roll,6.853394960113743
175,tired,6.823987623205785
176,month,6.821445969619888
177,super,6.789699831226596
178,james,6.7849557477378415
179,police,6.737346203511162
180,honest,6.7268059201922945
181,pocket,6.6956531714391145
182,teeth,6.6956531714391145
183,eating,6.614490032568417
184,member,6.614490032568417
185,boys,6.585150120803267
186,president,6.585150120803267
187,prezzioso,6.55928548402508
188,born,6.542736054578713
189,tears,6.526897236041501
190,noise,6.512705934277654
191,center,6.512705934277654
192,deal,6.46920448384485
193,yesterday,6.453181421746061
194,tall,6.453181421746061
195,king,6.431606640768692
196,spend,6.412061194777316
197,apart,6.39435721384813
198,asleep,6.365202612294164
199,warm,6.365202612294164
200,helped,6.3554570013771645
201,awful,6.327353905502607
202,eight,6.327353905502607
203,headed,6.327353905502607
204,climbed,6.250255021170671
205,restaurant,6.242890379642455
206,weather,6.212002195266814
207,involved,6.193757244901004
208,suppose,6.150932306743661
209,touch,6.110189840032301
210,soda,6.090780797285499
211,welcome,6.082641560977454
212,sight,6.027996208316501
213,store,6.027996208316501
214,helping,5.947131912088496
215,bought,5.893939921063218
216,crying,5.893939921063218
