,term,score
0,ethan,118.2614682003529
1,abby,115.4036556248804
2,michael,103.9752798390834
3,david,103.9752798390834
4,claudia,88.3077441418227
5,schafer,80.75052020793512
6,jeff,79.28009273473285
7,mary,76.98280585028171
8,watson,76.5421627827985
9,stacey,70.22061582361805
10,karen,62.40931705808597
11,andrew,60.42431047814501
12,kristy,57.70855075299585
13,mallory,54.9886640034882
14,brewer,52.3107174244061
15,jessi,48.33030735271839
16,trip,47.018370424868706
17,park,44.021826694558584
18,mall,34.119633527186444
19,shop,30.907277286776473
20,coffee,30.296417411766864
21,rock,28.372344968186543
22,man,27.909114182425245
23,window,26.835686713870427
24,richard,23.876618405147667
25,shouted,23.720416440764453
26,wild,23.260792544890087
27,bathroom,22.906385591602703
28,field,21.014681409007384
29,bus,20.533239184389195
30,daddy,20.212038610533487
31,maggie,19.66731960639643
32,road,19.412657083496054
33,pen,18.636006585800445
34,museum,18.60952349640148
35,murmured,18.591331362416145
36,huh,18.581271734703012
37,visit,18.525516965878403
38,uh,18.16750671853573
39,street,18.007128170568635
40,exclaimed,17.290152603134366
41,bear,17.253552088879356
42,bsc,16.954683850032108
43,crowd,16.47416426206859
44,ghost,16.3304325649024
45,hundred,16.32473732953403
46,carol,16.241777595407868
47,game,16.173011209612127
48,town,15.888642503442911
49,art,15.781222443669108
50,baseball,15.363199262686106
51,anna,14.815289342476813
52,wall,13.832122082507492
53,island,13.760437067838957
54,jill,13.140163133372544
55,seat,13.111905965792456
56,guy,12.995963034851615
57,nearly,12.908620198229796
58,area,12.74929823994144
59,screamed,12.06304090828987
60,drive,12.019247135309753
61,children,11.912966115280646
62,mal,11.894263824176992
63,backpack,11.548952623646347
64,heading,11.440819299948396
65,grown,11.272301745477936
66,climbed,11.250459038107207
67,writing,11.22217632724249
68,legs,11.098342740883778
69,nearby,10.96543193618199
70,information,10.899439617877784
71,announced,10.878162060069167
72,mama,10.73146152395567
73,king,10.719344401281152
74,million,10.614278387724188
75,horse,10.606821545836995
76,practically,10.545589842504343
77,beach,10.542575430961314
78,camp,10.515234428679875
79,ride,10.420603293306602
80,moving,10.37409156188062
81,pow,10.28154959024891
82,ha,10.158883083359672
83,pack,10.10660879796198
84,lunch,10.05507082091889
85,sunny,10.001668848995529
86,american,9.910011591841606
87,low,9.865193547452247
88,vacation,9.79825953894144
89,cold,9.776303744051681
90,bottom,9.776303744051681
91,california,9.746972276138711
92,store,9.644793933306401
93,pale,9.639769176471274
94,air,9.618091792165973
95,sign,9.618091792165973
96,building,9.594752944159241
97,sighed,9.57553852140246
98,familiar,9.550024357467844
99,explained,9.533185502065747
100,tree,9.505579763717234
101,super,9.505579763717234
102,fifteen,9.472744291538694
103,giggling,9.46141557936438
104,restaurant,9.364335569463684
105,woman,9.262758482939201
106,radio,9.229120103844515
107,dumb,9.202126677601937
108,noise,9.117788307988715
109,tired,9.09865016427438
110,seeing,9.09865016427438
111,space,9.034453990444486
112,picnic,8.977810929940075
113,led,8.898138414968649
114,aunt,8.78824765002615
115,its,8.780200161071022
116,york,8.741270643861638
117,college,8.704330198177711
118,singing,8.704330198177711
119,hit,8.702529648055334
120,sent,8.671260142861405
121,others,8.663975356567743
122,favorite,8.663975356567743
123,ahead,8.6256059784598
124,dancing,8.580614474961298
125,touch,8.55426577604522
126,sitters,8.511589796802188
127,liked,8.511589796802188
128,police,8.421682754388954
129,above,8.147639797471914
130,awhile,8.068737881462704
131,dead,8.034783805726937
132,teeth,8.034783805726937
133,crowded,8.034783805726937
134,hot,7.961318893740082
135,flew,7.960708790793141
136,summer,7.960708790793141
137,secret,7.82061063849247
138,boring,7.815247121133185
139,mad,7.785871113097568
140,burst,7.751303141613491
141,grandmother,7.7169050379964865
142,sick,7.7169050379964865
143,eating,7.7169050379964865
144,drove,7.638243134752997
145,tears,7.6147134420484175
146,excuse,7.5003060254048055
147,sam,7.432508693881204
148,ms,7.394462883314908
149,sigh,7.332227808038761
150,closer,7.299169873172944
151,fit,7.266293078585189
152,scene,7.1846418878197476
153,sang,7.150512062467747
154,yelled,7.10455821865402
155,bought,7.072727905275862
156,poor,7.072727905275862
157,band,7.028383620640875
