,term,score
0,victoria,157.37836802150386
1,kristy,129.30990076134253
2,stacey,105.33092373542708
3,cokie,103.80291071601728
4,ms,103.52248036640871
5,janine,97.6535385747273
6,abby,97.49619182101965
7,susan,74.13342806889855
8,robert,70.51497762853234
9,claudia,62.772974751416136
10,mary,51.67339022827129
11,mcgill,47.651864461122585
12,jessi,47.151519368505745
13,group,41.337015828262835
14,bus,39.199820261106645
15,war,38.76230443614697
16,alan,37.85484394324755
17,trip,33.7567787665724
18,camp,31.54570328603963
19,logan,31.543062423092714
20,mallory,26.933223185381976
21,mal,24.97795403077168
22,french,22.74642235145763
23,whitney,21.70546728796225
24,woman,20.841206586613204
25,guy,20.57694147184839
26,dance,20.555784995552386
27,shouted,20.485814198842025
28,station,19.412657083496054
29,company,19.116613208945353
30,writing,17.955482123587984
31,beach,17.570959051602188
32,museum,16.283333059351293
33,huh,16.10376883674261
34,man,16.101412028322255
35,uh,16.03015298694329
36,bsc,15.743635003601243
37,shop,14.717751088941178
38,heading,14.301024124935495
39,nearly,14.082131125341595
40,hundred,13.81323927883649
41,stepped,13.77015683631719
42,machine,13.637341987504707
43,rooms,13.570921021826106
44,train,13.33555846532737
45,vacation,13.06434605192192
46,gym,12.802027469337991
47,brown,12.710914002754329
48,baseball,12.569890305834086
49,shopping,12.052175708590406
50,york,12.019247135309753
51,threw,11.965978266076084
52,summer,11.94106318618971
53,children,11.912966115280646
54,shrugged,11.755445523758413
55,shot,11.735109271117995
56,coach,11.458052956532615
57,gray,11.353317300519812
58,area,11.332709546614614
59,breakfast,11.250459038107207
60,hallway,11.173235827408076
61,rain,10.892188879705166
62,eye,10.82996919570968
63,forward,10.73427468554817
64,flowers,10.711301097353724
65,loud,10.514354141030905
66,visit,10.420603293306602
67,seats,10.302425762258824
68,seeing,10.235981434808677
69,english,10.058498642947646
70,scene,10.058498642947646
71,led,10.010405716839731
72,pulling,9.732226497563925
73,beautiful,9.703806725767276
74,light,9.660847216993353
75,building,9.594752944159241
76,mine,9.533185502065747
77,acting,9.46141557936438
78,lines,9.458087476882167
79,shoes,9.430303873701149
80,receiver,9.22639846011549
81,exclaimed,9.221414721671662
82,body,9.180283525668314
83,return,9.159830476410198
84,counter,9.091561325003138
85,screamed,9.047280681217403
86,art,9.017841396382348
87,young,9.017841396382348
88,conversation,8.977741061793992
89,music,8.952100099387382
90,lived,8.93784072970568
91,member,8.819320043424556
92,tea,8.785479525801094
93,climbed,8.75035702963894
94,feels,8.75035702963894
95,ballet,8.75035702963894
96,announced,8.702529648055334
97,hate,8.702529648055334
98,american,8.671260142861405
99,pack,8.662807541110269
100,low,8.632044354020715
101,air,8.549414926369755
102,explained,8.473942668502886
103,park,8.465735902799727
104,eight,8.436471874003475
105,dewitt,8.428851259884183
106,students,8.421682754388954
107,softly,8.401254219357726
108,beat,8.379926870556057
109,official,8.30149438115194
110,daughter,8.30149438115194
111,buddy,8.249251874033106
112,tree,8.147639797471914
113,tired,7.961318893740082
114,water,7.9258757800442545
115,notice,7.751303141613491
116,grinned,7.7169050379964865
117,muttered,7.673228656617756
118,seat,7.648611813378933
119,rolled,7.648611813378933
120,insisted,7.568878200346541
121,carrying,7.568878200346541
122,boyfriend,7.51399227988372
123,excuse,7.5003060254048055
124,page,7.466406570575406
125,besides,7.414699834940025
126,news,7.414699834940025
127,dream,7.288451845061893
128,sharon,7.261459253136778
129,hug,7.2335954499798
130,linny,7.18554992561141
131,murmured,7.150512062467747
132,whenever,7.10455821865402
133,yelled,7.10455821865402
134,round,7.082943466634134
135,handle,7.072727905275862
136,softball,7.016275812286807
137,david,7.009569427353936
138,pants,6.983272392130048
139,pete,6.928983405296925
140,wall,6.916061041253746
141,finish,6.916061041253746
142,sleep,6.916061041253746
143,several,6.854522040250613
144,speak,6.7936078114665035
145,totally,6.7936078114665035
146,horrible,6.758153985260272
147,names,6.733305796345494
148,staring,6.70338054727926
149,green,6.70338054727926
150,crowded,6.6956531714391145
151,ball,6.664693320199508
152,burst,6.643974121382992
153,flew,6.633923992327617
154,practice,6.633923992327617
155,lifted,6.603342857240437
156,pile,6.603342857240437
157,cabin,6.570081566686272
158,glanced,6.555952982896228
159,costume,6.516119271668781
160,others,6.497981517425807
161,field,6.466055818156118
162,plate,6.453181421746061
163,imagine,6.412061194777316
164,sign,6.412061194777316
165,grinning,6.39435721384813
166,mood,6.39435721384813
167,sitters,6.383692347601641
168,thomas,6.383692347601641
169,anna,6.349409718204348
170,ones,6.327353905502607
171,dinner,6.327353905502607
172,continued,6.327353905502607
173,taken,6.327353905502607
174,sent,6.193757244901004
175,stupid,6.137890741910378
176,truth,6.137890741910378
177,board,6.120743484202128
178,sigh,6.110189840032301
179,learn,6.027996208316501
180,wide,6.000895870969805
181,office,6.000895870969805
182,yourself,5.973941627795423
183,road,5.9731252564603246
184,happens,5.893939921063218
185,row,5.8588317666841006
186,jump,5.830761476049514
187,speaking,5.789224051837001
188,ride,5.789224051837001
189,jake,5.788348949312249
190,watson,5.7121017002088434
191,forgotten,5.686656352671488
192,schafer,5.686656352671488
193,tiffany,5.674032121632352
194,jacket,5.666354773307307
195,join,5.6613398428887525
196,himself,5.6613398428887525
197,total,5.63959882070412
198,share,5.63959882070412
199,empty,5.636150872738968
200,sisters,5.611088163621245
201,neither,5.561336509355406
202,brain,5.560388311519402
203,expression,5.560388311519402
204,sense,5.536645101152493
205,became,5.536645101152493
206,eating,5.512075027140347
207,regular,5.487625100669389
208,its,5.487625100669389
209,leaving,5.487625100669389
210,enjoy,5.482715968090995
211,yup,5.482715968090995
212,kuhn,5.463311090316699
213,waved,5.463294152413524
214,gorgeous,5.4571567756959105
215,hit,5.4390810300345835
216,asking,5.4390810300345835
217,super,5.431759864981276
218,hugged,5.431759864981276
219,brothers,5.41498459785484
220,closed,5.41498459785484
221,picture,5.41498459785484
222,bag,5.41498459785484
223,giggling,5.406523188208217
224,become,5.3910037365373755
225,break,5.3910037365373755
226,turning,5.3910037365373755
227,deal,5.3910037365373755
228,picnic,5.386686557964045
229,dressed,5.367137342774085
230,barrett,5.357418033127949
231,spotted,5.3565225371512915
232,glance,5.3565225371512915
233,leaning,5.331754656159607
234,sighed,5.319743623001367
235,grabbed,5.319743623001367
236,younger,5.319743623001367
237,project,5.28267428579235
238,rules,5.28267428579235
239,calling,5.272794921252172
240,awful,5.272794921252172
241,science,5.215211316444199
242,outfit,5.210164747422123
243,center,5.210164747422123
244,lap,5.210164747422123
245,earlier,5.186284079476108
246,child,5.162545137396849
247,schedule,5.162545137396849
248,fault,5.162545137396849
249,promise,5.138946248888097
250,ground,5.022996101395087
251,somewhere,4.955005795920803
252,glass,4.932596773726123
253,painting,4.92423451848227
254,scared,4.910312593528302
255,stories,4.888151872025841
256,closer,4.8661132487819625
257,spot,4.8661132487819625
258,sight,4.8223969666532005
259,throat,4.8223969666532005
260,strange,4.8223969666532005
261,stage,4.8007603010017466
262,offered,4.800716696775844
263,learned,4.800716696775844
264,interrupted,4.800716696775844
265,pushed,4.736372145769347
266,shouldn,4.736372145769347
267,sms,4.729043738441083
268,bought,4.7151519368505745
269,poor,4.7151519368505745
270,tiny,4.7151519368505745
271,neighborhood,4.7151519368505745
272,angry,4.673046284902624
273,expected,4.673046284902624
274,quick,4.652158508978017
275,cute,4.652158508978017
276,babies,4.636013028213403
277,suppose,4.613199230057745
278,needs,4.610707360835831
279,hang,4.610707360835831
280,awhile,4.610707360835831
281,kiss,4.590557613151596
282,nose,4.590141762834157
283,eighth,4.590141762834157
284,movie,4.590141762834157
285,downstairs,4.569681360167075
286,grew,4.569681360167075
287,entire,4.569681360167075
288,dear,4.545780662501569
289,suit,4.523640340608702
290,present,4.523640340608702
291,chips,4.5016622203324825
292,somehow,4.488870530896996
293,named,4.46892036485284
294,charge,4.46892036485284
295,houses,4.458183198424782
296,tape,4.458183198424782
297,managed,4.4490692074843246
298,joined,4.409660021712278
299,raised,4.390100080535511
300,repeated,4.390100080535511
301,boys,4.390100080535511
302,suzi,4.372856989350053
303,cry,4.370635321930819
304,laughter,4.352165099088856
305,college,4.352165099088856
306,favorite,4.3319876782838715
307,waited,4.3319876782838715
308,kishi,4.3319876782838715
309,example,4.331403770555134
310,game,4.3128029892299
311,ahead,4.3128029892299
312,window,4.293709874219268
313,definitely,4.293709874219268
314,dancing,4.290307237480649
315,impressed,4.290307237480649
316,admit,4.274707463184877
317,excited,4.255794898401094
318,obviously,4.24976607998048
319,street,4.236971334251443
320,practically,4.2182359370017375
321,clock,4.2182359370017375
322,strong,4.209765487372085
323,dying,4.189963435278028
324,contest,4.17960331797191
325,song,4.131329647059117
326,add,4.1120369760682465
327,whose,4.1120369760682465
328,guilty,4.1120369760682465
329,familiar,4.092867581771933
330,michelle,4.092867581771933
331,thrilled,4.092867581771933
332,honey,4.092867581771933
333,camera,4.052171689199694
334,rather,4.036083552115377
335,star,4.036083552115377
336,slipped,4.017391902863468
337,pocket,4.017391902863468
338,style,3.998815992119705
339,million,3.9803543953965703
340,skin,3.9803543953965703
341,richard,3.979436400857945
342,arnold,3.979436400857945
343,pass,3.9620057143442624
344,mistake,3.9620057143442624
345,driveway,3.943768576115116
346,raced,3.943768576115116
347,joke,3.943768576115116
348,send,3.943768576115116
349,snapped,3.943768576115116
350,sea,3.932375406037556
351,born,3.9256416327472277
352,excitement,3.9256416327472277
353,snack,3.9076235605665923
354,yesterday,3.871908853047637
355,asleep,3.8191215673764987
356,crowd,3.8017302143235208
357,loved,3.7844391001732705
358,sugar,3.7672470760463153
359,sweet,3.7501530127024028
360,officer,3.7331558000953704
361,invited,3.7331558000953704
362,bell,3.716254346940602
363,jeff,3.716254346940602
364,giggled,3.716254346940602
365,large,3.716254346940602
366,audience,3.6916480415378063
367,garden,3.671135041203428
368,themselves,3.6661139040193804
369,lying,3.6661139040193804
370,touch,3.6661139040193804
371,dog,3.649584936586472
372,welcome,3.649584936586472
373,shaking,3.649584936586472
374,places,3.649584936586472
375,information,3.6331465392925946
376,hoping,3.6167977249899
377,steps,3.6167977249899
378,relieved,3.6005375225818828
379,missing,3.6005375225818828
380,drop,3.5843649766772536
381,key,3.5522882002618266
382,fifteen,3.55227910932701
383,fair,3.55227910932701
384,tonight,3.520532781335399
385,michael,3.504784713676968
386,pull,3.504784713676968
387,absolutely,3.489118881733513
388,written,3.489118881733513
389,clear,3.4735344311022005
390,wrote,3.458030520626873
391,twenty,3.458030520626873
392,sad,3.4426063221256173
393,dress,3.4426063221256173
394,island,3.4401092669597393
395,lucky,3.4119938116028923
396,pair,3.3968039057332517
397,thirteen,3.3968039057332517
398,party,3.3968039057332517
399,ha,3.386294361119891
400,glasses,3.3816905236433805
401,reminded,3.3816905236433805
402,police,3.368673101755581
403,math,3.366652898172747
404,married,3.366652898172747
405,missed,3.366652898172747
406,plan,3.35169027363963
407,lunch,3.35169027363963
408,seems,3.35169027363963
409,secret,3.35169027363963
410,takes,3.35169027363963
411,ended,3.321987060691496
412,afraid,3.321987060691496
413,third,3.3072450162842086
414,nervous,3.3072450162842086
415,questions,3.3072450162842086
416,filled,3.3072450162842086
417,evening,3.3072450162842086
418,divorced,3.2925750604016333
419,wonderful,3.2925750604016333
420,less,3.277976491448114
421,handed,3.277976491448114
422,drive,3.277976491448114
423,upstairs,3.277976491448114
424,fortunately,3.26608651298048
425,nine,3.2634486180207505
426,desk,3.2634486180207505
427,kit,3.2494889073510898
428,listen,3.2489907587129037
429,box,3.2489907587129037
